Wavelength (nm),Sum(calc),Na I (9.9e-6),Na II (2.1e-4),Na III (7.5e-23),Mg I (3.2e-4),Mg II (2.7e-3),Mg III (1.6e-6),Al I (1.9e-4),Al II (1.3e-3),Al III (3.7e-8),Si I (8.6e-4),Si II (1.6e-3),Si III (7.6e-8),K I (3.5e-6),K II (1.1e-4),K III (3.2e-15),Ca I (1.9e-2),Ca II (4.7e-1),Ca III (6.5e-3),Mn I (2.4e-5),Mn II (1.9e-4),Fe I (6.8e-5),Fe II (3.7e-4),Fe III (5.0e-8),Cu I (4.4e-7),Cu II (1.1e-6),Zn I (1.8e-6),Zn II (2.8e-6),Mo I (0.0e+0),Pb I (0.0e+0),Pb II (0.0e+0)
199.09,1.275e-23,,,,,,,,,,,,,,,,,,,,,,,1.275e-23,,,,,,,
199.11,1.117e-16,,,,,,,,,,,,,,,,,,,,,,1.117e-16,5.821e-23,,,,,,,
199.14,1.131e-15,,,,,,,,,,,,,,,,,,,,,,1.131e-15,5.331e-22,,,,,,,
199.16,5.074e-15,,,,,,,,,,,,,,,,,,7.306e-30,,,,5.074e-15,2.237e-21,,,,,,,
199.19,4.527e-14,,,,,,,,,,,,3.012e-30,,,,,,7.389e-29,,,,4.527e-14,1.807e-20,,,,,,,
199.21,1.867e-13,,,,,,,,,,,,1.397e-29,,,,,,3.313e-28,,,,1.867e-13,6.970e-20,,,,,,,
199.23,7.445e-13,,,,,,,,,,,,6.260e-29,,,,,,1.436e-27,,,,7.445e-13,2.599e-19,,,,,,,
199.26,5.565e-12,,,,,,,,,,,,5.577e-28,,,,,,1.217e-26,,1.639e-18,,5.565e-12,1.758e-18,,,,,,,
199.28,2.039e-11,,,,,,,,,,,,2.298e-27,,,,,,4.849e-26,,7.717e-18,,2.039e-11,6.027e-18,,,,,,,
199.31,1.343e-10,,,,,,,,,,,,1.804e-26,,,,,,3.620e-25,,7.403e-17,,1.343e-10,3.592e-17,,,,,,,
199.33,4.525e-10,,,,,,,,,,,,6.832e-26,,,,,,1.326e-24,,3.205e-16,,4.525e-10,1.132e-16,,,,,,,
199.36,2.626e-9,,,,,,,,,,,,4.727e-25,,,,,,8.724e-24,,2.709e-15,,2.626e-9,5.949e-16,,,,,,,
199.38,8.130e-9,,,,,,,,,,,,1.646e-24,,,,,,2.937e-23,,1.078e-14,,8.130e-9,1.724e-15,,,,,,,
199.41,4.157e-8,,,,,,,,,,,,1.003e-23,,,,,,1.703e-22,,8.033e-14,,4.157e-8,7.988e-15,,,,,,,
199.43,1.183e-7,,,,,,,,,,,,3.210e-23,,,,,,5.269e-22,,2.938e-13,,1.183e-7,2.129e-14,,,,,,,
199.46,5.331e-7,,,,,,,,,,,,1.725e-22,,,,,,2.692e-21,,1.930e-12,,5.331e-7,8.705e-14,,,,,,,
199.48,1.394e-6,,,,,,,,,,,,5.073e-22,,,,,,7.657e-21,,6.488e-12,,1.394e-6,2.135e-13,,,,,,,
199.5,3.526e-6,,,8.665e-59,,,,,,,,,1.443e-21,,,,,,2.105e-20,,2.109e-11,,3.526e-6,5.066e-13,,,,,,,
199.53,1.331e-5,,,8.480e-58,,,,,,,,,6.493e-21,,,,,,9.013e-20,,1.161e-10,,1.331e-5,1.741e-12,,,,,,,
199.55,3.093e-5,,,3.720e-57,,,7.720e-44,,,,,,1.697e-20,,,,,,2.278e-19,,3.469e-10,,3.093e-5,3.806e-12,,,,,,,
199.58,1.029e-4,,,3.210e-56,,,7.934e-43,,,,,8.668e-20,6.733e-20,,,,,,8.593e-19,,1.682e-9,,1.029e-4,1.158e-11,,,,,,,
199.6,2.198e-4,,,1.813e-55,,,3.596e-42,,,,,3.995e-19,1.617e-19,,,,,,1.996e-18,,4.621e-9,,2.198e-4,2.334e-11,,,,,,,
199.63,6.442e-4,,,1.491e-54,,,3.259e-41,,,,,3.712e-18,5.654e-19,,,,,,6.636e-18,,1.975e-8,,6.442e-4,6.301e-11,,,,,,,
199.65,1.265e-3,,,5.869e-54,,,1.358e-40,,,,,1.573e-17,1.249e-18,,,,,,1.417e-17,,4.988e-8,,1.265e-3,1.175e-10,,,,,,,
199.68,3.267e-3,,,4.358e-53,,,1.085e-39,,,,,1.288e-16,3.847e-18,,,,,,4.151e-17,,1.879e-7,,3.267e-3,2.827e-10,,,,,,,
199.7,5.896e-3,,,1.604e-52,,,4.157e-39,,,,,5.020e-16,7.808e-18,,,,,,8.147e-17,,4.362e-7,,5.895e-3,4.890e-10,,,,,,,
199.73,1.342e-2,,,1.077e-51,,,2.928e-38,,,,,3.625e-15,2.120e-17,,,,,,2.103e-16,,1.448e-6,,1.342e-2,1.055e-9,,,,,,,
199.75,2.226e-2,,,3.709e-51,,,1.032e-37,,,,,1.299e-14,3.955e-17,,,,,,3.794e-16,,3.090e-6,,2.225e-2,1.700e-9,,,,,,,
199.77,3.569e-2,,,1.243e-50,,,3.515e-37,,,,,4.500e-14,7.134e-17,,,,,,6.619e-16,,6.375e-6,,3.569e-2,2.669e-9,,,,,,,
199.8,6.805e-2,,,7.251e-50,,,2.076e-36,,,,,2.724e-13,1.623e-16,,,,,,1.432e-15,,1.773e-5,,6.803e-2,5.005e-9,,,,,,,
199.82,1.003e-1,,,2.270e-49,,,6.502e-36,,,,,8.678e-13,2.691e-16,,,,,,2.295e-15,,3.363e-5,,1.003e-1,7.381e-9,,,,,,,
199.85,1.685e-1,,,1.193e-48,,,3.385e-35,,,,,4.632e-12,5.393e-16,,,,,,4.375e-15,,8.246e-5,,1.684e-1,1.265e-8,,,,,,,
199.87,2.283e-1,,,3.482e-48,,,9.750e-35,,,,,1.357e-11,8.219e-16,,,,,,6.450e-15,,1.438e-4,,2.282e-1,1.760e-8,,,,,,,
199.9,3.381e-1,,,1.643e-47,,,4.475e-34,,,,,6.386e-11,1.452e-15,,,,,,1.084e-14,,3.106e-4,,3.378e-1,2.774e-8,,,,,,,
199.92,4.211e-1,,,4.456e-47,,,1.185e-33,,,,,1.720e-10,2.034e-15,,,,,,1.469e-14,,4.978e-4,,4.206e-1,3.656e-8,,,,,,,
199.95,5.495e-1,,,1.880e-46,,,4.797e-33,,,,,7.136e-10,3.166e-15,,,,,,2.177e-14,,9.481e-4,,5.486e-1,5.311e-8,,,,,,,
199.97,6.292e-1,,,4.725e-46,,,1.168e-32,,,,,1.767e-9,4.076e-15,,,,,,2.715e-14,,1.397e-3,,6.278e-1,6.632e-8,,,,,,,
200,7.239e-1,,,1.776e-45,,,4.168e-32,,,,,6.465e-9,5.591e-15,,,,,,3.553e-14,,2.344e-3,,7.216e-1,8.890e-8,,,,,,,
200.02,7.622e-1,,,4.129e-45,,,9.331e-32,,,,,1.472e-8,6.618e-15,,,,,,4.080e-14,,3.174e-3,,7.590e-1,1.053e-7,,,,,,,
200.04,7.761e-1,,,9.297e-45,,,2.020e-31,,,,,3.240e-8,7.573e-15,,,,,,4.538e-14,,4.156e-3,,7.719e-1,1.223e-7,,,,,,,
200.07,7.490e-1,,,2.958e-44,,,6.043e-31,,,,,9.939e-8,8.703e-15,,,,,,5.017e-14,,5.845e-3,,7.432e-1,1.480e-7,,,,,,,
200.09,7.017e-1,,,6.147e-44,,,1.203e-30,,,,,2.012e-7,9.155e-15,,,,,,5.164e-14,,7.035e-3,,6.947e-1,1.649e-7,,,,,,,
200.12,5.981e-1,,,1.732e-43,,,3.173e-30,,,,,5.441e-7,9.271e-15,,,,,,5.113e-14,,8.720e-3,,5.893e-1,1.903e-7,,,,,,,
200.14,5.160e-1,,,3.318e-43,,,5.807e-30,,,,,1.013e-6,8.964e-15,,,,,,4.914e-14,,9.647e-3,,5.063e-1,2.080e-7,,,,,,,
200.17,3.890e-1,,,8.268e-43,,,1.350e-29,,,,,2.415e-6,8.000e-15,,,,,,4.439e-14,,1.054e-2,,3.785e-1,2.373e-7,,,,,,,
200.19,3.096e-1,,,1.458e-42,,,2.273e-29,,,,,4.132e-6,7.109e-15,,,,,,4.053e-14,,1.072e-2,,2.989e-1,2.599e-7,,,,,,,
200.22,2.072e-1,,,3.211e-42,,,4.659e-29,,,,,8.687e-6,5.591e-15,,,,,,3.450e-14,,1.032e-2,,1.969e-1,2.995e-7,,,,,,,
200.24,1.526e-1,,,5.214e-42,,,7.209e-29,,,,,1.367e-5,4.567e-15,,,,,,3.066e-14,,9.647e-3,,1.429e-1,3.295e-7,,,,,,,
200.27,9.118e-2,,,1.013e-41,,,1.303e-28,,,,,2.534e-5,3.166e-15,,,,,,2.549e-14,,8.186e-3,,8.297e-2,3.773e-7,,,,,,,
200.29,6.246e-2,,,1.514e-41,,,1.854e-28,,,,,3.666e-5,2.377e-15,,,,,,2.247e-14,,7.035e-3,,5.539e-2,4.087e-7,,,,,,,
200.31,4.170e-2,,,2.188e-41,,,2.551e-28,,,,,5.129e-5,1.725e-15,,,,,,1.973e-14,,5.845e-3,,3.581e-2,4.374e-7,,,,,,,
200.34,2.189e-2,,,3.570e-41,,,3.865e-28,,,,,7.970e-5,1.002e-15,,,,,,1.603e-14,,4.156e-3,,1.766e-2,4.714e-7,,,,,,,
200.36,1.411e-2,,,4.746e-41,,,4.890e-28,,,,,1.025e-4,6.686e-16,,,,,,1.376e-14,,3.174e-3,,1.084e-2,4.862e-7,,2.277e-20,,,,,
200.39,7.781e-3,,,6.831e-41,,,6.532e-28,,,,,1.405e-4,3.422e-16,,,,,,1.061e-14,,1.989e-3,,5.651e-3,4.955e-7,,2.297e-19,,,,,
200.41,6.021e-3,,,8.351e-41,,,7.598e-28,,,,,1.661e-4,2.101e-16,,,,,,8.682e-15,,1.397e-3,,4.458e-3,4.937e-7,,1.029e-18,,,,,
200.44,5.985e-3,,,1.060e-40,,,8.950e-28,,,,,2.007e-4,9.563e-17,,,,,,6.134e-15,,7.713e-4,,5.013e-3,4.815e-7,,9.156e-18,,,,,
200.46,7.413e-3,,,1.192e-40,,,9.572e-28,,,,,2.183e-4,5.553e-17,,,,,,4.700e-15,,4.978e-4,,6.697e-3,4.688e-7,,3.772e-17,,,,,
200.49,1.162e-2,,,1.335e-40,,,9.940e-28,,,,,2.324e-4,2.773e-17,,,,,,2.981e-15,,2.423e-4,,1.114e-2,4.460e-7,,2.964e-16,,,,,
200.51,1.581e-2,,,1.380e-40,,,9.775e-28,,,,,2.324e-4,2.398e-17,,,,,,2.117e-15,,1.438e-4,,1.544e-2,4.298e-7,,1.123e-15,,,,,
200.54,2.416e-2,,,1.363e-40,,,8.950e-28,,,,,2.183e-4,3.813e-17,,,,,,1.193e-15,,6.167e-5,,2.388e-2,4.061e-7,,7.789e-15,,,,,
200.56,3.092e-2,,,1.296e-40,,,8.092e-28,,,,,2.007e-4,6.465e-17,,,,,,7.815e-16,,3.363e-5,,3.069e-2,3.920e-7,,2.717e-14,,,,,
200.58,3.836e-2,,,1.191e-40,,,7.075e-28,,,,,1.784e-4,1.122e-16,,,,,,4.954e-16,,1.773e-5,,3.816e-2,3.805e-7,,9.165e-14,,,,,
200.61,4.987e-2,,,9.865e-41,,,5.431e-28,,,,,1.405e-4,2.474e-16,,,,,,2.349e-16,,6.375e-6,,4.972e-2,3.705e-7,,5.335e-13,,,,,
200.63,5.705e-2,,,8.343e-41,,,4.366e-28,,,,,1.148e-4,4.037e-16,,,,,,1.370e-16,,3.090e-6,,5.693e-2,3.702e-7,,1.656e-12,,,,,
200.66,6.572e-2,,,6.095e-41,,,2.955e-28,,,,,7.970e-5,7.922e-16,,,,,,5.733e-17,,9.789e-7,,6.564e-2,3.807e-7,,8.508e-12,,,,,
200.68,6.949e-2,,,4.742e-41,,,2.184e-28,,1.124e-18,,,5.991e-5,1.192e-15,,,,,,3.075e-17,,4.362e-7,,6.943e-2,3.948e-7,,2.430e-11,,,,,
200.71,7.170e-2,,,3.061e-41,,,1.303e-28,,1.160e-17,,,3.666e-5,2.072e-15,,,,,,1.135e-17,,1.218e-7,,7.166e-2,4.236e-7,,1.102e-10,,,,,
200.73,7.118e-2,,,2.196e-41,,,8.856e-29,,5.118e-17,,,2.534e-5,2.877e-15,,,,,,5.597e-18,,4.988e-8,,7.116e-2,4.445e-7,,2.895e-10,,,,,
200.76,6.906e-2,,,1.260e-41,,,4.659e-29,,4.458e-16,,,1.367e-5,4.431e-15,,,,,,1.820e-18,,1.227e-8,,6.904e-2,4.713e-7,,1.158e-9,,,,,
200.78,6.833e-2,,,8.394e-42,,,2.911e-29,,1.811e-15,,,8.687e-6,5.679e-15,,,,,,8.256e-19,,4.621e-9,,6.832e-2,4.817e-7,,2.801e-9,,,,,
200.81,7.187e-2,,,4.378e-42,,,1.350e-29,,1.393e-14,,,4.132e-6,7.766e-15,,,,,,2.367e-19,,1.002e-9,,7.187e-2,4.798e-7,,9.892e-9,,,,,
200.83,7.970e-2,,,2.790e-42,,,7.758e-30,,5.210e-14,,,2.415e-6,9.199e-15,,,,,,9.869e-20,,3.469e-10,,7.970e-2,4.651e-7,,2.200e-8,,,,,
200.85,9.375e-2,,,1.782e-42,,,4.310e-30,,1.885e-13,,,1.364e-6,1.056e-14,,,,,,3.979e-20,,1.161e-10,,9.375e-2,4.398e-7,,4.735e-8,,,,,
200.88,1.292e-1,,,9.584e-43,,,1.676e-30,,1.219e-12,,,5.442e-7,1.226e-14,,,,,,9.561e-21,,2.109e-11,,1.292e-1,3.851e-7,,1.404e-7,,,,,
200.9,1.633e-1,,,6.852e-43,,,8.562e-31,,4.061e-12,,,2.831e-7,1.304e-14,,,,,,3.543e-21,,6.488e-12,,1.633e-1,3.412e-7,,2.780e-7,,,,,
200.93,2.291e-1,,,5.021e-43,,,2.935e-31,,2.320e-11,,,1.012e-7,1.350e-14,,,,,,7.506e-22,,1.039e-12,,2.291e-1,2.720e-7,,7.275e-7,,,,,
200.95,2.803e-1,,,4.745e-43,,,1.379e-31,,7.116e-11,,,5.205e-8,1.331e-14,,,,,,2.557e-22,,2.938e-13,,2.803e-1,2.280e-7,,1.325e-6,,,,,
200.98,3.606e-1,,,5.314e-43,,,4.168e-32,,3.592e-10,,,3.165e-8,1.232e-14,,,,,,4.775e-23,,4.148e-14,,3.606e-1,1.712e-7,,3.062e-6,,,,,
201,4.108e-1,,,6.259e-43,,,1.800e-32,,1.014e-9,,,4.535e-8,1.128e-14,,,,,,1.496e-23,,1.078e-14,,4.108e-1,1.417e-7,,5.135e-6,,,,,
201.03,4.703e-1,,,8.451e-43,,,4.797e-33,,4.523e-9,,,1.289e-7,9.349e-15,,,,,,2.471e-24,,1.341e-15,,4.703e-1,1.113e-7,,1.048e-5,,,,,
201.05,4.941e-1,,,1.036e-42,,,1.905e-33,,1.176e-8,,,2.694e-7,7.955e-15,,,,,,7.444e-25,,3.205e-16,,4.941e-1,9.971e-8,,1.619e-5,,,,,
201.08,5.001e-1,,,1.367e-42,,,4.475e-34,,4.634e-8,,,7.760e-7,5.912e-15,,,,,,3.662e-25,,3.514e-17,,5.001e-1,9.281e-8,,2.924e-5,,,,,
201.1,4.837e-1,,,1.597e-42,,,1.634e-34,,1.109e-7,,,1.509e-6,4.679e-15,,,,,,9.858e-25,,7.717e-18,,4.836e-1,9.328e-8,,4.167e-5,,,,,
201.12,4.525e-1,,,1.813e-42,,,5.769e-35,,2.569e-7,,,2.840e-6,3.597e-15,,,,,,3.382e-24,,1.023e-17,,4.524e-1,9.615e-8,,5.759e-5,,,,,
201.15,3.848e-1,,,2.070e-42,,,1.136e-35,,8.513e-7,,,6.892e-6,2.296e-15,,,,,,2.096e-23,,1.401e-17,,3.847e-1,1.021e-7,,8.855e-5,,,,,
201.17,3.316e-1,,,2.173e-42,,,3.689e-36,,1.816e-6,,,1.194e-5,1.642e-15,,,,,,6.793e-23,,1.653e-17,,3.315e-1,1.056e-7,,1.141e-4,,,,,
201.2,2.500e-1,,,2.199e-42,,,6.407e-37,,5.316e-6,,,2.562e-5,9.393e-16,,,,,,3.725e-22,,2.030e-17,,2.498e-1,1.083e-7,,1.599e-4,,,,,
201.22,1.999e-1,,,2.127e-42,,,1.912e-37,,1.044e-5,,,4.091e-5,6.240e-16,,,,,,1.112e-21,,2.282e-17,,1.996e-1,1.078e-7,,1.960e-4,,,,,
201.25,1.375e-1,,,1.901e-42,,,2.928e-38,,2.701e-5,,,7.767e-5,3.195e-16,,,,,,5.384e-21,,2.659e-17,,1.371e-1,1.034e-7,,2.621e-4,,,,,
201.27,1.069e-1,,,1.693e-42,,,8.036e-39,,4.885e-5,,,1.144e-4,1.970e-16,,,,,,1.479e-20,,2.911e-17,,1.064e-1,9.848e-8,,3.182e-4,,,,0,
201.3,7.882e-2,,,1.338e-42,,,1.085e-39,,1.117e-4,,,1.929e-4,9.011e-17,,,,,,6.325e-20,,3.289e-17,,7.809e-2,8.914e-8,,4.332e-4,,,,0,
201.32,7.208e-2,,,1.099e-42,,,2.738e-40,,1.860e-4,,,2.630e-4,5.149e-17,,,,,,1.599e-19,,3.540e-17,,7.109e-2,8.240e-8,,5.407e-4,,,,0,
201.35,7.889e-2,,,7.693e-43,,,3.259e-41,,3.759e-4,,,3.960e-4,2.099e-17,,,,,,6.041e-19,,3.918e-17,,7.735e-2,7.282e-8,,7.685e-4,,,,0,
201.37,9.375e-2,,,5.834e-43,,,7.560e-42,,5.765e-4,,,5.022e-4,1.110e-17,,,,,,1.406e-18,,4.169e-17,,9.170e-2,6.738e-8,,9.755e-4,,,,0,
201.39,1.158e-1,,,4.294e-43,,,1.696e-42,,8.556e-4,,,6.201e-4,5.689e-18,,,,,,3.166e-18,,4.421e-17,,1.131e-1,6.297e-8,,1.232e-3,,,,0,
201.42,1.593e-1,,,2.573e-43,,,1.708e-42,,1.454e-3,,,8.132e-4,1.967e-18,,,,,,1.005e-17,,4.799e-17,,1.553e-1,5.833e-8,,1.703e-3,,,,0,
201.44,1.926e-1,,,1.774e-43,,,1.715e-42,,1.988e-3,,,9.481e-4,9.315e-19,,,,,,2.083e-17,,5.050e-17,,1.876e-1,5.637e-8,,2.062e-3,,,,0,
201.47,2.433e-1,,,9.846e-44,,,1.727e-42,,2.986e-3,,,1.153e-3,2.858e-19,,,,,,5.840e-17,,5.428e-17,,2.366e-1,5.451e-8,,2.619e-3,,,,0,
201.49,2.738e-1,,,6.616e-44,,,1.734e-42,,3.760e-3,,,1.289e-3,1.249e-19,,,,,,1.114e-16,,5.679e-17,,2.657e-1,5.359e-8,2.850e-18,2.965e-3,,,,0,
201.52,3.082e-1,,,3.795e-44,,,1.745e-42,,4.993e-3,,,1.487e-3,3.396e-20,,,,,,2.759e-16,,6.057e-17,,2.984e-1,5.215e-8,2.801e-17,3.374e-3,,,,0,
201.54,3.211e-1,,,2.807e-44,,,1.753e-42,,5.789e-3,,,1.612e-3,1.368e-20,,,,,,4.846e-16,,6.309e-17,,3.102e-1,5.099e-8,1.233e-16,3.536e-3,,,,0,
201.57,3.239e-1,,,2.113e-44,,,1.764e-42,,6.796e-3,,,1.783e-3,3.292e-21,,,,,,1.060e-15,,6.686e-17,,3.117e-1,4.896e-8,1.071e-15,3.571e-3,,,,0,
201.59,3.158e-1,,,1.964e-44,,,1.772e-42,,7.258e-3,,,1.877e-3,1.223e-21,,,,,,1.713e-15,,6.938e-17,,3.032e-1,4.750e-8,4.345e-15,3.450e-3,,,,0,
201.62,2.944e-1,,,1.978e-44,,,1.783e-42,,7.532e-3,,,1.972e-3,2.601e-22,,,,,,3.310e-15,,7.315e-17,,2.819e-1,4.543e-8,3.336e-14,3.081e-3,,2.340e-15,,0,
201.64,2.789e-1,,,2.053e-44,1.775e-14,,1.791e-42,,7.410e-3,,,1.993e-3,8.898e-23,,,,,,4.925e-15,,7.567e-17,,2.667e-1,4.421e-8,1.246e-13,2.742e-3,,1.063e-14,,0,
201.66,2.666e-1,,,2.132e-44,8.194e-14,,1.798e-42,,7.054e-3,,,1.972e-3,2.945e-23,,,,,,7.090e-15,,7.819e-17,,2.552e-1,4.316e-8,4.502e-13,2.361e-3,,4.673e-14,,0,
201.69,2.615e-1,,,2.193e-44,7.641e-13,,1.810e-42,,6.161e-3,,,1.857e-3,5.269e-24,,,,,,1.151e-14,,8.196e-17,,2.518e-1,4.180e-8,2.907e-12,1.772e-3,,4.049e-13,,0,
201.71,2.708e-1,,,2.171e-44,3.248e-12,,1.817e-42,,5.402e-3,,,1.728e-3,1.605e-24,,,,,,1.525e-14,,8.448e-17,,2.622e-1,4.095e-8,9.676e-12,1.404e-3,,1.640e-12,,0,
201.74,3.058e-1,,,2.033e-44,2.677e-11,,1.829e-42,,4.172e-3,,,1.471e-3,2.537e-25,,,,,,2.187e-14,,8.826e-17,,2.992e-1,3.954e-8,5.522e-11,9.308e-4,,1.256e-11,,0,
201.76,3.420e-1,,,1.880e-44,1.048e-10,,1.836e-42,,3.370e-3,,,1.274e-3,7.116e-26,,,,,,2.668e-14,,9.077e-17,,3.367e-1,3.840e-8,1.693e-10,6.788e-4,,4.683e-11,,0,
201.79,4.090e-1,,,1.599e-44,7.639e-10,,1.848e-42,,2.302e-3,,,9.700e-4,9.929e-27,,,,,,3.378e-14,,9.455e-17,,4.054e-1,3.624e-8,8.538e-10,3.972e-4,,3.171e-10,,0,
201.81,4.567e-1,,,1.408e-44,2.755e-9,,1.855e-42,,1.715e-3,,,7.776e-4,2.563e-27,,,,,,3.793e-14,,9.706e-17,,4.540e-1,3.445e-8,2.410e-9,2.666e-4,,1.089e-9,,0,
201.84,5.226e-1,,,1.180e-44,1.774e-8,,1.867e-42,,1.040e-3,,,5.257e-4,3.156e-28,,,,,,4.242e-14,,1.008e-16,,5.209e-1,3.121e-8,1.074e-8,1.377e-4,,6.517e-9,,0,
201.86,5.574e-1,,,1.106e-44,5.895e-8,,1.874e-42,,7.209e-4,,,3.890e-4,7.453e-29,,,,,,4.385e-14,,1.034e-16,,5.562e-1,2.871e-8,2.793e-8,8.507e-5,,2.062e-8,,0,
201.89,5.906e-1,,,1.183e-44,3.356e-7,,1.885e-42,,4.066e-4,,,2.329e-4,8.111e-30,,,,,,4.330e-14,,1.071e-16,,5.899e-1,2.455e-8,1.100e-7,3.880e-5,,1.090e-7,,0,
201.91,5.992e-1,,,1.402e-44,1.027e-6,,1.893e-42,,2.862e-4,,,1.588e-4,1.773e-30,,,,,,4.120e-14,,1.096e-16,,5.988e-1,2.162e-8,2.634e-7,2.206e-5,,3.177e-7,,0,
201.93,5.980e-1,,,1.793e-44,3.040e-6,,1.901e-42,,2.223e-4,,,1.048e-4,4.463e-30,,,,,,3.793e-14,,1.122e-16,,5.977e-1,1.868e-8,6.102e-7,1.213e-5,,8.958e-7,,0,
201.96,5.820e-1,,,2.775e-44,1.456e-5,,1.912e-42,,2.128e-4,,,5.279e-5,8.497e-30,,,,,,3.148e-14,,1.159e-16,,5.817e-1,1.450e-8,2.022e-6,4.658e-6,,3.987e-6,,0,
201.98,5.649e-1,,,3.742e-44,3.972e-5,,1.920e-42,,2.556e-4,,,3.207e-5,1.119e-29,,,,,,2.668e-14,,1.185e-16,,5.645e-1,1.204e-8,4.314e-6,2.382e-6,,1.035e-5,,0,
202.01,5.337e-1,,,5.736e-44,1.682e-4,,1.931e-42,,3.871e-4,,,1.427e-5,1.522e-29,,,,,,1.955e-14,,1.222e-16,,5.331e-1,9.065e-9,1.264e-5,9.181e-7,,4.072e-5,,0,
202.03,5.104e-1,,,7.454e-44,4.224e-4,,1.938e-42,,5.172e-4,,,7.983e-6,1.791e-29,,,,,,1.525e-14,,1.247e-16,,5.093e-1,7.671e-9,2.483e-5,6.644e-7,,9.739e-5,,0,
202.06,4.720e-1,,,1.061e-43,1.581e-3,,1.950e-42,,7.694e-4,,,3.138e-6,2.194e-29,,,,,,9.875e-15,,1.285e-16,,4.692e-1,6.572e-9,6.427e-5,1.133e-6,,3.387e-4,,0,
202.08,4.441e-1,,,1.306e-43,3.658e-3,,1.957e-42,,9.674e-4,,,1.615e-6,2.463e-29,,,,,,7.091e-15,,1.310e-16,,4.386e-1,6.520e-9,1.163e-4,2.300e-6,,7.460e-4,,0,
202.11,4.016e-1,,,1.707e-43,1.210e-2,,1.969e-42,,1.285e-3,,,5.608e-7,2.867e-29,,,,,,4.056e-15,,1.348e-16,,3.857e-1,7.445e-9,2.661e-4,6.935e-6,,2.293e-3,,0,
202.13,3.782e-1,,,1.982e-43,2.579e-2,,1.976e-42,,1.490e-3,,,2.657e-7,3.136e-29,,,,,,2.683e-15,,1.373e-16,,3.458e-1,8.689e-9,4.433e-4,1.405e-5,,4.652e-3,,0,
202.16,3.722e-1,,,2.371e-43,7.541e-2,,1.988e-42,,1.750e-3,,,8.144e-8,3.539e-29,,,,,,1.364e-15,,1.411e-16,,2.815e-1,1.138e-8,8.964e-4,3.816e-5,,1.264e-2,,0,
202.18,4.127e-1,,,2.592e-43,1.480e-1,,1.995e-42,,1.870e-3,,,3.552e-8,3.808e-29,,,,,,8.459e-16,,1.436e-16,,2.377e-1,1.364e-8,1.376e-3,7.130e-5,,2.362e-2,,0,
202.2,5.232e-1,,,2.766e-43,2.811e-1,,2.003e-42,,1.933e-3,,,1.498e-8,4.077e-29,,,,,,5.297e-16,,1.461e-16,,1.953e-1,1.616e-8,2.043e-3,1.289e-4,,4.270e-2,,0,
202.23,9.327e-1,,,2.908e-43,6.917e-1,,2.014e-42,,1.909e-3,,,3.858e-9,4.481e-29,,,,,,3.254e-16,,1.499e-16,,1.377e-1,2.024e-8,3.474e-3,2.947e-4,,9.760e-2,,0,
202.25,1.485e+0,,,2.914e-43,1.210e+0,,2.022e-42,,1.817e-3,,,1.498e-9,4.749e-29,,,,,,3.319e-16,,1.524e-16,,1.050e-1,2.301e-8,4.751e-3,4.907e-4,,1.625e-1,,0,
202.28,3.036e+0,,,2.787e-43,2.632e+0,,2.033e-42,,1.585e-3,,,3.406e-10,5.153e-29,,,,,,5.594e-16,,1.562e-16,,6.593e-2,2.707e-8,7.142e-3,9.915e-4,,3.284e-1,,0,
202.3,4.802e+0,,,2.620e-43,4.240e+0,,2.041e-42,,1.389e-3,,,1.217e-10,5.422e-29,,,,,,8.985e-16,,1.587e-16,,4.646e-2,2.970e-8,8.994e-3,1.521e-3,,5.037e-1,,0,
202.33,9.094e+0,,,2.275e-43,8.153e+0,,2.052e-42,,1.071e-3,,,2.444e-11,5.825e-29,,,,,,1.830e-15,,1.625e-16,,2.587e-2,3.371e-8,1.195e-2,2.716e-3,,8.996e-1,,0,
202.35,1.340e+1,,,2.004e-43,1.210e+1,,2.060e-42,,8.642e-4,,,8.037e-12,6.094e-29,,,,,,2.852e-15,,1.650e-16,,1.681e-2,3.668e-8,1.386e-2,3.837e-3,,1.271e+0,,0,
202.38,2.260e+1,,,1.579e-43,2.056e+1,,2.071e-42,,5.888e-4,,,1.425e-12,6.498e-29,,,,,,5.234e-15,,1.688e-16,,8.281e-3,4.214e-8,1.627e-2,6.057e-3,,2.006e+0,,0,
202.4,3.075e+1,,,1.304e-43,2.811e+1,,2.078e-42,,4.374e-4,,,4.313e-13,6.767e-29,,,,,,7.537e-15,,1.713e-16,,4.958e-3,4.680e-8,1.738e-2,7.881e-3,,2.610e+0,,0,
202.43,4.590e+1,,,9.339e-44,4.223e+1,,2.090e-42,,2.633e-4,,,6.750e-14,7.170e-29,,,,,,1.225e-14,,1.751e-16,,2.159e-3,5.563e-8,1.804e-2,1.100e-2,,3.642e+0,,0,
202.45,5.756e+1,,,7.276e-44,5.316e+1,,2.097e-42,,1.801e-4,,,1.881e-14,7.439e-29,,,,,,1.626e-14,,1.776e-16,,1.191e-3,6.268e-8,1.774e-2,1.318e-2,,4.365e+0,,0,
202.47,6.985e+1,,,5.598e-44,6.476e+1,,2.105e-42,,1.192e-4,,,5.069e-15,7.708e-29,,,,,,2.089e-14,,1.801e-16,,6.353e-4,7.037e-8,1.689e-2,1.528e-2,,5.061e+0,,0,
