 samples,Si_at%,Al_at%,Fe_at%,Ca_at%,K_at%,Na_at%,Mg_at%,Cr_at%,Cu_at%,Mn_at%,Zn_at%,Ti_at%,Ni_at%,Mo_at%,C_at%,Li_at%,Pb_at%,
GBW07168,5.297589,1.099273,11.237672,1.681074,0.374281,0,0.206046,0,0.213314,0.044686,79.163499,0,0,0,0,0,0.682565,19.940621
GBW07201,4.271852,14.932389,12.882624,0.40341,0.146906,0.051968,24.446303,40.930422,0,0.247381,0,0.05505,0.117902,0,1.513793,0,0,57.437883
GBW07401,64.730252,17.279298,4.038573,1.905245,3.416581,3.326801,2.788934,0.007642,0.00205,0.199068,0.064616,0.626901,0.002112,0,1.577691,0.031314,0.00292,98.311653
GBW07405,57.219693,27.682606,10.336129,0.115889,2.082529,0.253163,0.987539,0.015107,0.014388,0.16193,0.050031,0.85942,0.004447,0,0.147019,0.052778,0.017331,99.698898
GBW07407,38.343751,40.450729,16.559385,0.200443,0.299255,0.18085,0.452336,0.055608,0.010783,0.228353,0.015294,2.974225,0.033125,0,0.176057,0.019311,0.000493,99.689327
GBW07819,12.478375,13.660996,9.083909,0.348507,0.032897,0.143899,35.442712,27.762265,0,0.100344,0,0.127972,0.180594,0,0.637531,0,0,71.419611
GBW07840,3.085974,9.524287,66.370448,1.260456,0.04597,0.14657,5.460316,0,0.019341,0.242984,0.055207,11.664594,0.074981,0,2.048872,0,0,97.801599
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
GBW03124,55.093319,21.46813,1.148571,0.505339,5.864155,15.799952,0,0,0,0.038431,0,0.082103,0,0,0,0,0,
GBW03124,52.33865305,20.3947235,1.09114245,0.48007205,5.57094725,15.0099544,0,0,0,0.03650945,0,0.07799785,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
GBW070159,3.261095,0.444072,0.281221,48.8054,0.051106,0.03159,47.092474,0,0,0.019789,0,0.013253,0,0,0,0,0,
GBW070159,3.09804025,0.4218684,0.26715995,46.36513,0.0485507,0.0300105,44.7378503,0,0,0.01879955,0,0.01259035,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
GBW03116,60.961919,20.201434,0.13168,0.749008,11.267515,6.581364,0.073911,0,0,0,0,0.033169,0,0,0,0,0,
GBW03116,57.91382305,19.1913623,0.125096,0.7115576,10.70413925,6.2522958,0.07021545,0,0,0,0,0.03151055,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
GBW070101,27.410601,15.493601,11.39766,1.392057,2.618859,0.164077,2.259981,0,0,39.263164,,0,0,0,0,0,0,
GBW070101,26.04007095,14.71892095,10.827777,1.32245415,2.48791605,0.15587315,2.14698195,0,0,37.3000058,#VALUE!,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
GBW03134,59.776424,20.339201,0.065322,0.452289,0.109505,19.202031,0.019554,0,0,0,0,0.035674,0,0,0,0,0,
GBW03134,56.7876028,19.32224095,0.0620559,0.42967455,0.10402975,18.24192945,0.0185763,0,0,0,0,0.0338903,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
GBW070099,39.012632,14.457943,8.96396,1.476113,3.087334,0.126528,1.737302,0,0,31.138187,0,0,0,0,0,0,0,
GBW070099,37.0620004,13.73504585,8.515762,1.40230735,2.9329673,0.1202016,1.6504369,0,0,29.58127765,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
GBW07141,56.849549,6.087678,7.512518,19.551013,0.835016,1.731688,6.352986,0.000239,0.000477,0.999512,0.032589,0,0.005491,0.041064,0,0,0.000179,
GBW07141,54.00707155,5.7832941,7.1368921,18.57346235,0.7932652,1.6451036,6.0353367,0.00022705,0.00045315,0.9495364,0.03095955,0,0.00521645,0.0390108,0,0,0.00017005,
,,,,,,,,,,,,,,,,,,
GBW07125,73.455597,14.944521,0.172732,0.102946,7.628672,2.980227,0.186134,0.000462,0.000347,0.008088,0.001791,0.440495,0,0,0.065395,0.011669,0.000924,
GBW07125,69.78281715,14.19729495,0.1640954,0.0977987,7.2472384,2.83121565,0.1768273,0.0004389,0.00032965,0.0076836,0.00170145,0.41847025,0,0,0.06212525,0.01108555,0.0008778,
,,,,,,,,,,,,,,,,,,
GBW07107,60.772468,22.757355,5.867524,0.658366,5.444787,0.694554,3.074264,0.011714,0.004069,0.01942,0.005179,0.50874,0.003884,0,0.13859,0.039086,0,
GBW07107,57.7338446,21.61948725,5.5741478,0.6254477,5.17254765,0.6598263,2.9205508,0.0111283,0.00386555,0.018449,0.00492005,0.483303,0.0036898,0,0.1316605,0.0371317,0,
,,,,,,,,,,,,,,,,,,
GBW07111,56.190019,18.375333,4.295228,4.761218,4.203354,7.392133,3.943006,0.004017,0.000735,0.074167,0.007354,0.544852,0.002319,0,0.19263,0.013068,0.000566,
GBW07111,53.38051805,17.45656635,4.0804666,4.5231571,3.9931863,7.02252635,3.7458557,0.00381615,0.00069825,0.07045865,0.0069863,0.5176094,0.00220305,0,0.1829985,0.0124146,0.0005377,
,,,,,,,,,,,,,,,,,,
GBW07145,54.054809,14.171343,6.357468,4.853013,1.896353,4.123242,14.195958,0.089883,0.03071,0.103374,0.00716,0.005207,0.110889,0,0,0,0.000592,
GBW07145,51.35206855,13.46277585,6.0395946,4.61036235,1.80153535,3.9170799,13.4861601,0.08538885,0.0291745,0.0982053,0.006802,0.00494665,0.10534455,0,0,0,0.0005624,
,,,,,,,,,,,,,,,,,,
GBW07122,47.831811,15.631766,10.735646,9.915436,0.589629,3.867223,10.344858,0.015233,0.007645,0.168664,0.008862,0.666721,0,0,0.207355,0.009151,0,
GBW07122,45.44022045,14.8501777,10.1988637,9.4196642,0.56014755,3.67386185,9.8276151,0.01447135,0.00726275,0.1602308,0.0084189,0.63338495,0,0,0.19698725,0.00869345,0,
,,,,,,,,,,,,,,,,,,
GBW07106,91.450003,4.196492,2.452256,0.32473,0.838338,0.119007,0.122595,0.002311,0.001824,0.017149,0.001885,0.200736,0.001642,0,0.262277,0.008757,0,
GBW07106,86.87750285,3.9866674,2.3296432,0.3084935,0.7964211,0.11305665,0.11646525,0.00219545,0.0017328,0.01629155,0.00179075,0.1906992,0.0015599,0,0.24916315,0.00831915,0,
,,,,,,,,,,,,,,,,,,
GBW070036,5.068683,85.37462,4.75975,0.19934,0.940217,0.062161,0.185672,0,0,0.024527,0,3.101811,0,0,0.28322,0,0,
GBW070036,4.81524885,81.105889,4.5217625,0.189373,0.89320615,0.05905295,0.1763884,0,0,0.02330065,0,2.94672045,0,0,0.269059,0,0,
,,,,,,,,,,,,,,,,,,
GBW07105,43.009331,15.703316,9.715441,9.094383,2.85028,6.312877,11.159077,0.014936,0.004458,0.138071,0.013257,1.717405,0.013836,0,0.245807,0.007526,0,
GBW07105,40.85886445,14.9181502,9.22966895,8.63966385,2.707766,5.99723315,10.60112315,0.0141892,0.0042351,0.13116745,0.01259415,1.63153475,0.0131442,0,0.23351665,0.0071497,0,
,,,,,,,,,,,,,,,,,,
GBW07405,57.219693,27.682606,10.336129,0.115889,2.082529,0.253163,0.987539,0.015107,0.014388,0.16193,0.050031,0.85942,0.004447,0,0.147019,0.052778,0.017331,
GBW07405,54.35870835,26.2984757,9.81932255,0.11009455,1.97840255,0.24050485,0.93816205,0.01435165,0.0136686,0.1538335,0.04752945,0.816449,0.00422465,0,0.13966805,0.0501391,0.01646445,
,,,,,,,,,,,,,,,,,,
GBW07103,68.994892,14.961015,1.524778,1.572192,6.054828,5.748939,0.592482,0.000398,0.000285,0.045195,0.002448,0.204514,0.000228,0,0.189544,0.107408,0.000854,
GBW07103,65.5451474,14.21296425,1.4485391,1.4935824,5.7520866,5.46149205,0.5628579,0.0003781,0.00027075,0.04293525,0.0023256,0.1942883,0.0002166,0,0.1800668,0.1020376,0.0008113,
,,,,,,,,,,,,,,,,,,
GBW07407,38.343751,40.450729,16.559385,0.200443,0.299255,0.18085,0.452336,0.055608,0.010783,0.228353,0.015294,2.974225,0.033125,0,0.176057,0.019311,0.000493,
GBW07407,36.42656345,38.42819255,15.73141575,0.19042085,0.28429225,0.1718075,0.4297192,0.0528276,0.01024385,0.21693535,0.0145293,2.82551375,0.03146875,0,0.16725415,0.01834545,0.00046835,
,,,,,,,,,,,,,,,,,,
GBW03130,55.978924,0.087029,0.196128,0.366662,0.009706,0.03774,42.903954,0,0,0.001084,0,0.003416,0,0,0.415356,0,0,
GBW03130,53.1799778,0.08267755,0.1863216,0.3483289,0.0092207,0.035853,40.7587563,0,0,0.0010298,0,0.0032452,0,0,0.3945882,0,0,
,,,,,,,,,,,,,,,,,,
GBW07121,61.642356,17.900715,2.183712,2.651003,3.084817,9.556366,2.258101,0.002571,0.000279,0.043761,0.004024,0.210144,0,0,0.44203,0.02012,0,
GBW07121,58.5602382,17.00567925,2.0745264,2.51845285,2.93057615,9.0785477,2.14519595,0.00244245,0.00026505,0.04157295,0.0038228,0.1996368,0,0,0.4199285,0.019114,0,
,,,,,,,,,,,,,,,,,,
GBW070099,39.012632,14.457943,8.96396,1.476113,3.087334,0.126528,1.737302,0,0,31.138187,0,0,0,0,0,0,0,99.999999
GBW070099,37.0620004,13.73504585,8.515762,1.40230735,2.9329673,0.1202016,1.6504369,0,0,29.58127765,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,
GBW070171,6.277813,69.365988,18.810791,0.119581,0.039577,0.057124,0.066786,0.09214,0,0.029528,0.002164,3.832083,0,0,1.306425,0,0,98.599271
GBW070171,5.96392235,65.8976886,17.87025145,0.11360195,0.03759815,0.0542678,0.0634467,0.087533,0,0.0280516,0.0020558,3.64047885,0,0,1.24110375,0,0,
,,,,,,,,,,,,,,,,,,
GBW07840,3.085974,9.524287,66.370448,1.260456,0.04597,0.14657,5.460316,0,0.019341,0.242984,0.055207,11.664594,0.074981,0,2.048872,0,0,97.801599
GBW07840,2.9316753,9.04807265,63.0519256,1.1974332,0.0436715,0.1392415,5.1873002,0,0.01837395,0.2308348,0.05244665,11.0813643,0.07123195,0,1.9464284,0,0,
