Wavelength (nm),Sum(calc),Li I (3.1e-6),Li II (6.8e-5),Li III (1.6e-38),C I (2.2e-3),C II (1.1e-4),C III (3.2e-13),Na I (2.8e-3),Na II (5.7e-2),Na III (1.1e-20),Mg I (1.2e-2),Mg II (9.4e-2),Mg III (4.6e-5),Al I (2.1e-2),Al II (1.3e-1),Al III (2.9e-6),Si I (1.5e-1),Si II (2.6e-1),Si III (9.5e-6),K I (8.5e-4),K II (2.6e-2),K III (4.9e-13),Ca I (3.5e-3),Ca II (8.2e-2),Ca III (9.6e-4),Ti I (9.7e-4),Ti II (1.5e-2),Ti III (2.6e-5),Cr I (1.4e-5),Cr II (1.3e-4),Mn I (1.6e-4),Mn II (1.2e-3),Fe I (1.5e-2),Fe II (7.7e-2),Fe III (8.3e-6),Ni I (3.5e-5),Ni II (9.7e-5),Ni III (2.6e-9),Cu I (1.3e-5),Cu II (2.9e-5),Zn I (5.3e-5),Zn II (7.3e-5),Pr II (1.6e-2),Eu I (7.7e-4),Eu II (3.0e-2),Tm I (1.7e-5),Tm II (4.9e-4)
199.30,7.736e-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.736e-54,,,,,,,,,,,,
199.31,1.765e-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.765e-52,,,,,,,,,,,,
199.33,1.914e-47,,,,,1.005e-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.906e-47,8.025e-50,,,,,,,,,,,,
199.35,1.038e-44,,,,,4.564e-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.035e-44,3.048e-47,9.726e-50,,,,,,,,,,,
199.36,2.261e-43,,,,,9.093e-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.256e-43,5.553e-46,2.216e-48,,,,,,,,,,,
199.38,9.371e-41,,,,,3.154e-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.355e-41,1.610e-43,1.005e-45,,,,,,,,,,,
199.40,3.245e-38,,,,,9.137e-49,,,,,,,,,,,,,1.141e-61,,,,,,3.372e-61,,,,,,,,,3.241e-38,3.900e-41,3.806e-43,,,,,,,,,,,
199.41,5.645e-37,,,,,1.454e-47,,,,,,,,,,,,,2.713e-60,,,,,,7.335e-60,,,,,,,,,5.640e-37,5.673e-40,6.925e-42,,,,,,,,,,,
199.43,1.493e-34,,,,,3.215e-45,,,,,,,,,,,,,1.341e-57,,,,,,3.033e-57,,,,,,,,,1.492e-34,1.049e-37,2.003e-39,,,,,,,,,,,
199.45,3.298e-32,,,,,5.939e-43,,,,,,,,,,,,,5.540e-55,,,,,,1.048e-54,,,,,,,,,3.296e-32,1.620e-35,4.839e-37,,,,,,,,,,,
199.46,4.582e-31,,,,,7.546e-42,,,,,,,,,,,,,1.052e-53,,,,,,1.820e-53,,,,,,,,,4.580e-31,1.881e-34,7.031e-36,,,,,,,,,,,
199.48,7.728e-29,,,,,1.064e-39,,,,,,,,,,,,,3.319e-51,,,,,,4.801e-51,,,,,,,,,7.726e-29,2.218e-32,1.297e-33,,,,,,,,,,,
199.50,1.089e-26,,,,,1.254e-37,,,,,,,,,,,,,8.746e-49,,,,,,1.058e-48,,,,,,,4.798e-48,,1.089e-26,2.184e-30,1.998e-31,,,,,,,,,,,
199.51,1.208e-25,,,,,1.272e-36,,,,,,,,,,,,,1.327e-47,,,,,,1.468e-47,,,,,,,1.040e-46,,1.208e-25,2.026e-29,2.319e-30,,,,,,,,,,,
199.53,1.300e-23,,,,,1.144e-34,,,,,,,,,,,,,2.670e-45,,,,,,2.470e-45,,,,,,,4.276e-44,,1.300e-23,1.523e-27,2.728e-28,,,,,,,,,,,
199.55,1.168e-21,,,,,8.594e-33,,,,,,,,,,,,,4.489e-43,,,,,,3.471e-43,,,,,,,1.469e-41,,1.168e-21,9.563e-26,2.680e-26,,,,,,,,,,,
199.56,1.035e-20,,,,,6.963e-32,,,,,,,,,,,,,5.440e-42,,,,,,3.847e-42,,,,,,,2.544e-40,,1.035e-20,7.083e-25,2.484e-25,,,,,,,,,,,
199.58,7.100e-19,,,,,3.993e-30,,,,,,,,,,,,,6.982e-40,,,,,,4.129e-40,,,,,,,6.673e-38,,7.100e-19,3.395e-23,1.863e-23,,,,,,,,,,,
199.60,4.069e-17,,,,,1.913e-28,,,,,,,,,,,,,7.487e-38,,,,,,3.703e-38,,,,,,,1.462e-35,,4.069e-17,1.359e-21,1.168e-21,,,,,,,,,,,
199.61,2.879e-16,,,,,1.238e-27,,,,,,,,,,,,,7.248e-37,,,,,,3.278e-37,,,,,,,2.024e-34,,2.879e-16,8.040e-21,8.643e-21,,,,,,,,,,,
199.63,1.260e-14,,,,,4.526e-26,,,,,,,,,,,,,5.935e-35,,,,,,2.245e-35,,,,,,,3.388e-32,,1.260e-14,2.457e-19,4.136e-19,,,,,,,,,,,
199.65,4.605e-13,,,,,1.383e-24,,,,,,,,,,,,,4.060e-33,,,,,,1.285e-33,,,,,,,4.738e-30,,4.604e-13,6.274e-18,1.653e-17,,,,,,,,,,,
199.66,2.602e-12,,,,,7.144e-24,,,,,,,,,,,,,3.139e-32,,,,,,9.085e-33,,,,,,,5.238e-29,,2.602e-12,2.963e-17,9.769e-17,,,,,,,,,,,
199.68,7.261e-11,,,,,1.666e-22,,,,,,,,,,,,,1.640e-30,,,,,,3.972e-31,,,,,,,5.595e-27,,7.260e-11,5.775e-16,2.981e-15,,,,,,,,,,,
199.70,1.692e-9,,,,,3.245e-21,,,,,,,,,,,,,7.155e-29,,,,,,1.451e-29,,,,,,,4.994e-25,,1.692e-9,9.401e-15,7.600e-14,,,,,,,,,,,
199.71,7.637e-9,,,,,1.339e-20,,,,,,,,,,,,3.054e-51,4.418e-28,,,,,,8.205e-29,,,,,,,4.411e-24,,7.637e-9,3.545e-14,3.587e-13,,,,,,,,,,,
199.73,1.359e-7,,,,,1.991e-19,,,,1.879e-87,,,,,,,,1.620e-48,1.472e-26,,,,,,2.293e-27,,,,,,,3.007e-22,,1.359e-7,4.406e-13,6.981e-12,,,,,,,,,,,
199.75,2.020e-6,,,,,2.474e-18,,,,8.331e-85,,,,,,,,7.184e-46,4.099e-25,,,,,,5.366e-26,,,,,,,1.713e-20,,2.020e-6,4.574e-12,1.135e-10,,,,,,,,,,,
199.76,7.280e-6,,,,,8.149e-18,,,,1.640e-83,,,,,,,,1.415e-44,2.022e-24,,,,,,2.429e-25,,,,,,,1.208e-19,,7.280e-6,1.377e-11,4.278e-10,,,,,,,,,,,
199.78,8.262e-5,,,,,7.728e-17,,,,5.557e-81,,,3.009e-75,,,,,4.794e-42,4.297e-23,,,,,,4.361e-24,,,,,,,5.256e-18,,8.262e-5,1.092e-10,5.311e-9,,,,,,,,,,,
199.79,2.602e-4,,,,,2.225e-16,,,,9.563e-80,,,7.073e-74,,,,,8.252e-41,1.852e-22,,,,,,1.731e-23,,,,,,,3.241e-17,,2.602e-4,2.872e-10,1.749e-8,,,,,,,,,,,
199.81,2.254e-3,,,,,1.611e-15,,,,2.476e-77,,,3.416e-71,,,,,2.137e-38,3.006e-21,,,,,,2.396e-22,,,,,,,1.077e-15,,2.254e-3,1.738e-9,1.658e-7,,,,,,,,,,,
199.83,1.631e-2,,,,,9.740e-15,,,,5.360e-75,,,1.379e-68,,,,,4.627e-36,4.077e-20,,,,,,2.800e-21,,,,,,,2.990e-14,,1.631e-2,8.782e-9,1.312e-6,,,,,,,,,,,
199.84,4.103e-2,,,,,2.239e-14,,,,7.372e-74,,,2.591e-67,,,,,6.366e-35,1.404e-19,,,,,,8.997e-21,,,,,,,1.473e-13,,4.102e-2,1.845e-8,3.451e-6,,,,,,,,,,,
199.86,2.267e-1,,,,,1.034e-13,,,,1.219e-71,,,7.997e-65,,,,,1.053e-32,1.453e-18,,,,,,8.237e-20,,,,,,,3.123e-12,,2.267e-1,7.122e-8,2.086e-5,,,,,,,,,,,
199.88,1.046e+0,,,,,3.986e-13,,,,1.686e-69,,,2.063e-62,,,,,1.457e-30,1.257e-17,,,,,,6.465e-19,,,,,,,5.533e-11,,1.046e+0,2.297e-7,1.053e-4,,,,,,,,,,,
199.89,2.101e+0,,,,,7.317e-13,,,,1.854e-68,,,3.099e-61,,,,,1.602e-29,3.457e-17,,,,,,1.714e-18,,,,,,,2.177e-10,,2.101e+0,3.857e-7,2.212e-4,,,,,,,,,,,
199.91,7.404e+0,,,,,2.154e-12,,,,1.959e-66,,,6.111e-59,,,,,1.693e-27,2.284e-16,,,,,,1.085e-17,,,,,,,2.946e-9,,7.403e+0,9.515e-7,8.528e-4,,,,,,,,,,,
199.93,2.179e+1,,,,,5.297e-12,,,,1.730e-64,,,1.008e-56,,,,,1.496e-25,1.260e-15,,,,,,6.007e-17,,,,,,,3.331e-8,,2.179e+1,1.967e-6,2.746e-3,,,,,,,,,,,
199.94,3.495e+1,,,,,7.765e-12,,,,1.521e-63,,,1.210e-55,,,,,1.315e-24,2.768e-15,,,,,,1.346e-16,,,,,,,1.047e-7,,3.495e+1,2.651e-6,4.607e-3,,,,,,,,,,,
199.96,7.854e+1,,,,,1.458e-11,,,,1.027e-61,,,1.524e-53,,,,,8.877e-23,1.166e-14,,,,,,6.129e-16,,,,,,,9.042e-7,,7.853e+1,4.256e-6,1.133e-2,,,,,,,,,,,
199.98,1.474e+2,,,,,2.286e-11,,,,5.793e-60,,,1.606e-51,,,,,5.011e-21,4.106e-14,,,,,,2.443e-15,,,,,,,6.525e-6,,1.474e+2,5.911e-6,2.329e-2,,,,,,,,,,,
199.99,1.888e+2,,,,,2.676e-11,,,,4.068e-59,,,1.541e-50,,,,,3.520e-20,7.203e-14,,,,,,4.632e-15,,,,,,,1.638e-5,,1.888e+2,6.690e-6,3.123e-2,,,,,,,,,,,
200.01,2.706e+2,,,,,3.204e-11,,,,1.755e-57,,,1.241e-48,,,,,1.518e-18,1.936e-13,,,,,,1.493e-14,,,,,,,9.030e-5,,2.706e+2,8.327e-6,4.922e-2,,,,,,,,,,,
200.03,3.240e+2,,,,,3.204e-11,,,,6.325e-56,,,8.356e-47,,,,,5.474e-17,4.349e-13,,,,,,4.132e-14,,,5.963e-54,,,,4.158e-4,,3.239e+2,1.087e-5,6.554e-2,,,,,,,,,,,
200.04,3.314e+2,,,,,2.995e-11,,,,3.551e-55,,,6.411e-46,,,,,3.073e-16,6.093e-13,,,,,,6.476e-14,,,1.391e-52,,,,8.341e-4,,3.313e+2,1.289e-5,7.144e-2,,,,,,,,,,,
200.06,3.029e+2,,,,,2.286e-11,,,,9.782e-54,,,3.299e-44,,,,,8.468e-15,1.045e-12,,,,,,1.407e-13,,,6.619e-50,,,,2.934e-3,,3.028e+2,1.896e-5,7.809e-2,,,,,,,,,,,
200.08,2.313e+2,,,,,1.458e-11,,,,2.253e-52,,,1.419e-42,,,,,1.950e-13,1.497e-12,,,,,,2.583e-13,,,2.633e-47,,,,8.621e-3,,2.312e+2,2.728e-5,8.307e-2,,,,,,,,,,,
200.09,1.889e+2,,,,,1.088e-11,,,,1.011e-51,,,8.705e-42,,,,,8.752e-13,1.675e-12,,,,,,3.281e-13,,,4.912e-46,,,,1.382e-2,,1.888e+2,3.161e-5,8.852e-2,,,,,,,,,,,
200.11,1.102e+2,,,,,5.297e-12,,,,1.779e-50,,,2.862e-40,,,,,1.541e-11,1.833e-12,,,,,,4.647e-13,,,1.495e-43,,,,3.101e-2,,1.100e+2,3.853e-5,1.126e-1,,,,,,,,,,,
200.13,5.379e+1,,,,,2.154e-12,,,,2.618e-49,,,7.869e-39,,,,,2.267e-10,1.675e-12,,,,,,5.522e-13,,,3.804e-41,,,,5.815e-2,,5.358e+1,4.075e-5,1.561e-1,,,,,,,,,,,
200.14,3.520e+1,,,,,1.284e-12,,,,9.389e-49,,,3.858e-38,,,,,8.131e-10,1.497e-12,,,,,,5.633e-13,,,5.676e-40,,,,7.445e-2,,3.495e+1,3.972e-5,1.821e-1,,,,,,,,,,,
200.16,1.333e+1,,,,,3.986e-13,,,,1.056e-47,,,8.107e-37,,,,,9.143e-9,1.045e-12,,,,,,5.130e-13,,,1.105e-37,,,,1.066e-1,,1.299e+1,3.409e-5,2.282e-1,,,,,,,,,,,
200.18,4.410e+0,,,,,1.034e-13,,,,9.933e-47,,,1.424e-35,,,,,8.595e-8,6.093e-13,,,,,,3.909e-13,,,1.800e-35,,,,1.276e-1,,4.036e+0,2.603e-5,2.462e-1,,,,,,,,,,,
200.19,2.477e+0,,,,,4.920e-14,,,,2.850e-46,,,5.582e-35,,,,,2.464e-7,4.349e-13,,,,,,3.191e-13,,,2.148e-34,,,,1.305e-1,,2.107e+0,2.206e-5,2.401e-1,,,,,,,,,,,
200.21,8.374e-1,,,,,9.740e-15,,,,2.053e-45,,,7.495e-34,,,,,1.770e-6,1.936e-13,,,,,,1.862e-13,,,2.676e-32,,,,1.193e-1,,5.179e-1,1.587e-5,2.001e-1,,,,,,,,,,,
200.23,3.922e-1,,,,,1.611e-15,5.832e-71,,,1.243e-44,,,8.414e-33,,,,,1.063e-5,7.203e-14,,,,,,9.136e-14,,,2.788e-30,,,,9.113e-2,,1.614e-1,1.391e-5,1.396e-1,,,,,,,,,,,
200.24,3.327e-1,,,,,6.122e-16,1.293e-69,,,2.869e-44,,,2.636e-32,,,,,2.436e-5,4.106e-14,,,,,,6.023e-14,,,2.662e-29,,,,7.445e-2,,1.491e-1,1.524e-5,1.090e-1,,,,,,,,,,,
200.26,4.089e-1,,,,,7.728e-17,5.558e-67,,,1.356e-43,,,2.262e-31,,,,,1.119e-4,1.166e-14,,,,,,2.386e-14,,,2.122e-27,,,,4.343e-2,,3.072e-1,2.415e-5,5.812e-2,,,,,,,,,,,
200.28,8.083e-1,,,,,8.149e-18,1.999e-64,,,5.570e-43,,,1.623e-30,,,,,4.299e-4,2.768e-15,,,,,,9.324e-15,,,1.415e-25,,,,2.117e-2,,7.608e-1,4.289e-5,2.589e-2,,,,,,,,,,,
200.29,1.187e+0,,,,,2.474e-18,3.545e-63,,,1.085e-42,,,4.064e-30,,,,,7.883e-4,1.260e-15,,,,,,6.233e-15,,,1.080e-24,,,,1.382e-2,,1.157e+0,5.576e-5,1.616e-2,,,,,,,,,,,
200.31,2.434e+0,,,,,1.991e-19,9.756e-61,,,3.939e-42,,,2.228e-29,,,,,2.322e-3,2.284e-16,,,,,,3.521e-15,,,5.512e-23,,,,5.143e-3,,2.421e+0,8.497e-5,5.498e-3,,,,,,,,,,,
200.32,3.324e+0,,,,,5.281e-20,1.514e-59,,,7.465e-42,,,4.879e-29,,,,,3.732e-3,9.087e-17,,,,,,2.888e-15,,,3.682e-22,,,,2.934e-3,,3.315e+0,9.881e-5,2.998e-3,,,,,,,,,,,
200.34,5.531e+0,,,,,3.245e-21,3.189e-57,,,2.715e-41,,,2.045e-28,,,,,8.476e-3,1.257e-17,,,,,,1.982e-15,,,1.437e-20,,,,8.341e-4,,5.520e+0,1.176e-4,7.791e-4,,,,,,,,,,,
200.36,7.806e+0,,,,,1.666e-22,5.620e-55,,,9.859e-41,,,7.165e-28,,,,,1.631e-2,1.453e-18,,,,,,1.232e-15,,,4.694e-19,,,,1.982e-4,,7.789e+0,1.177e-4,1.692e-4,,,,,,,,,,,
200.37,8.701e+0,,,,,3.528e-23,6.979e-54,,,1.845e-40,,,1.254e-27,,,,,2.135e-2,4.619e-19,,,,,,9.161e-16,,,2.509e-18,,,,9.030e-5,,8.679e+0,1.105e-4,7.370e-5,,,,,,,,,,,
200.39,9.491e+0,,,,,1.383e-24,9.415e-52,,,5.989e-40,,,3.359e-27,,,,,3.291e-2,4.077e-20,,,,,,4.454e-16,,,6.271e-17,,,,1.638e-5,,9.458e+0,8.670e-5,1.222e-5,,,,,,,,,,,
200.41,8.696e+0,,,,,4.526e-26,1.063e-49,,,1.697e-39,,,7.521e-27,,,,,4.515e-2,3.006e-21,,,,,,1.814e-16,,,1.311e-15,,4.140e-50,,2.484e-6,,8.651e+0,6.141e-5,1.696e-6,,,,,,,,,,,
200.42,7.796e+0,,,,,7.655e-27,1.056e-48,,,2.693e-39,,,1.052e-26,,,,,5.114e-2,7.632e-22,,,,,,1.083e-16,,,5.609e-15,,9.540e-49,,9.042e-7,,7.745e+0,5.197e-5,5.986e-7,,,,,,,,,,,
200.44,5.503e+0,,,,,1.913e-28,9.126e-47,,,5.977e-39,,,1.801e-26,,,,,6.258e-2,4.297e-23,,,,,,3.373e-17,,,8.980e-14,,4.433e-46,,1.047e-7,,5.440e+0,4.350e-5,1.657e-7,,,,,,,,,,,
200.46,3.278e+0,,,,,3.993e-30,6.600e-45,,,1.115e-38,,,2.577e-26,,,,,7.260e-2,2.022e-24,,,,,,8.778e-18,,,1.203e-12,,1.724e-43,,1.013e-8,,3.206e+0,4.831e-5,9.707e-7,,,,,,,,,,,
200.47,2.381e+0,,,,,5.393e-31,5.250e-44,,,1.425e-38,,,2.882e-26,,,,,7.639e-2,4.099e-25,,,,,,4.187e-18,,,4.120e-12,,3.179e-42,,2.946e-9,,2.305e+0,5.390e-5,2.760e-6,,,,,,,,,,,
200.49,1.127e+0,,,,,8.594e-33,2.907e-42,,,2.037e-38,,,3.152e-26,,,,,7.927e-2,1.474e-26,,,,,,8.326e-19,,,4.227e-11,,9.466e-40,,2.177e-10,,1.048e+0,6.606e-5,1.971e-5,,,,,,,,,,,
200.51,4.833e-1,,,,,1.144e-34,1.347e-40,,,2.436e-38,,,2.882e-26,,,,,7.336e-2,1.084e-27,,,,,,1.384e-19,,,3.632e-10,,2.359e-37,,1.344e-11,,4.097e-1,7.313e-5,1.178e-4,,,,,,,,,,,
200.52,3.219e-1,,,,,1.234e-35,8.581e-40,,,2.491e-38,,,2.577e-26,,,,,6.701e-2,3.807e-27,,,,,,5.274e-20,,,9.960e-10,,3.483e-36,,3.123e-12,,2.546e-1,7.342e-5,2.693e-4,,,,,,,,,,,
200.54,2.246e-1,,,,,1.254e-37,3.047e-38,,,2.278e-38,,,1.801e-26,,,,,4.978e-2,1.107e-25,,,,,,6.696e-21,,,6.557e-9,,6.646e-34,,1.473e-13,,1.735e-1,6.800e-5,1.231e-3,,,,,,,,,,,
200.56,4.641e-1,,,,,1.064e-39,9.060e-37,,,1.742e-38,,,1.052e-26,,,,,3.136e-2,2.744e-24,,,,,,7.105e-22,,,3.616e-8,,1.061e-31,,5.803e-15,,4.280e-1,5.835e-5,4.712e-3,,,,,,,,,,,
200.57,8.049e-1,,,,,9.165e-41,4.623e-36,,,1.425e-38,,,7.521e-27,,,,,2.335e-2,1.278e-23,,,,,,2.164e-22,,,7.947e-8,,1.254e-30,,1.077e-15,,7.729e-1,5.356e-5,8.623e-3,,,,,,,,,,,
200.59,2.385e+0,,,,,5.939e-43,1.054e-34,,,8.333e-39,,,3.359e-27,,,,,1.135e-2,2.425e-22,,,,,,1.754e-23,,,3.362e-7,,1.534e-28,,3.241e-17,,2.348e+0,4.598e-5,2.529e-2,,,,2.734e-51,,,,,,,
200.61,6.216e+0,,,,,3.215e-45,2.014e-33,,,4.075e-39,,,1.254e-27,,,,,4.623e-3,3.849e-21,,,,,,1.188e-24,,,1.192e-6,,1.569e-26,,8.150e-19,,6.149e+0,4.098e-5,6.221e-2,,,,1.373e-48,,,,,,,
200.62,9.496e+0,,,,,2.211e-46,8.243e-33,,,2.665e-39,,,7.165e-28,,,,,2.761e-3,1.434e-20,,,,,,2.892e-25,,,2.102e-6,,1.485e-25,,1.208e-19,,9.402e+0,3.881e-5,9.142e-2,,,,2.879e-47,,,,,,,
200.64,1.989e+1,,,,,9.137e-49,1.210e-31,,,9.968e-40,,,2.045e-28,,,,,8.611e-4,1.742e-19,,,,,,1.497e-26,,,5.725e-6,,1.163e-23,,2.321e-21,,1.972e+1,3.380e-5,1.737e-1,,,,1.108e-44,,,,,,,
200.66,3.634e+1,,,,,3.154e-51,1.491e-30,,,3.119e-40,,,4.879e-29,,,,,2.246e-4,1.771e-18,,,,,,6.474e-28,,,1.308e-5,,7.629e-22,,3.724e-23,,3.606e+1,2.787e-5,2.797e-1,,,,3.567e-42,,,,,,,
200.67,4.679e+1,,,,,1.732e-52,4.902e-30,,,1.633e-40,,,2.228e-29,,,,,1.073e-4,5.280e-18,,,,,,1.259e-28,,,1.852e-5,,5.779e-21,,4.411e-24,,4.645e+1,2.530e-5,3.345e-1,,,,5.989e-41,,,,,,,
200.69,7.069e+1,,,,,4.564e-55,4.654e-29,,,3.942e-41,,,4.064e-30,,,,,2.140e-5,4.107e-17,,,,,,4.160e-30,,,3.257e-5,,2.901e-19,,5.406e-26,,7.026e+1,2.363e-5,4.290e-1,,,,1.478e-38,,,,,,,
200.71,9.474e+1,,,,,1.005e-57,3.718e-28,,,8.829e-42,,,6.195e-31,,,,,3.568e-6,2.672e-16,,,,,,1.149e-31,,,4.813e-5,,1.219e-17,,5.537e-28,,9.426e+1,3.025e-5,4.832e-1,,,,3.052e-36,,,,,,,
200.72,1.049e+2,,,,,4.351e-57,9.858e-28,,,4.922e-42,,,2.262e-31,,,,,1.363e-6,6.376e-16,,,,,,1.785e-32,,,5.481e-5,,7.392e-17,,5.238e-29,,1.044e+2,3.752e-5,4.920e-1,,,,4.104e-35,,,,,,,
200.74,1.172e+2,,,,,1.105e-56,6.100e-27,,,4.688e-42,,,2.636e-32,,,,,1.737e-7,3.175e-15,,,,,,3.767e-34,,,6.242e-5,,2.378e-15,,4.097e-31,,1.168e+2,5.941e-5,4.754e-1,,,,6.494e-33,,,,,,,
200.76,1.153e+2,,,,,1.774e-56,3.190e-26,,,9.603e-42,,,2.568e-33,,,,,1.851e-8,1.323e-14,,,,,,6.642e-36,,,5.981e-5,,6.404e-14,,2.678e-33,,1.149e+2,8.654e-5,4.226e-1,,,,8.602e-31,,,,,,,
200.77,1.088e+2,,,,,2.109e-56,6.855e-26,,,1.369e-41,,,7.495e-34,,,,,5.651e-9,2.526e-14,,,,,,8.247e-37,,,5.488e-5,,3.108e-13,,2.024e-34,,1.084e+2,9.949e-5,3.861e-1,,,,9.263e-30,,,,,,,
200.79,8.700e+1,,,,,2.778e-56,2.798e-25,,,2.498e-41,,,5.582e-35,,,,,4.603e-10,8.058e-14,,,,,,1.111e-38,,,4.062e-5,,6.408e-12,,1.010e-36,,8.670e+1,1.187e-4,2.997e-1,,,,9.399e-28,,,,,,,
200.80,7.363e+1,,,,,3.113e-56,5.320e-25,,,3.173e-41,,,1.424e-35,,,,,1.229e-10,1.346e-13,,,,,,1.206e-39,,,3.277e-5,,2.722e-11,,6.673e-38,,7.338e+1,1.235e-4,2.533e-1,,,,8.858e-27,,,,,,,
200.82,4.704e+1,,,,,3.782e-56,1.706e-24,,,4.504e-41,,,8.107e-37,,,,,7.650e-12,3.291e-13,,,,,,1.241e-41,,,1.875e-5,,4.297e-10,,2.544e-40,,4.687e+1,1.220e-4,1.642e-1,,,,6.886e-25,,,,,,,
200.84,2.568e+1,,,,,4.451e-56,4.678e-24,,,5.368e-41,,,3.858e-38,,,,,3.983e-13,6.744e-13,,,,,,1.332e-43,,,9.045e-6,,5.677e-9,,8.105e-43,,2.559e+1,1.077e-4,9.198e-2,,,,4.481e-23,,,,,,,
200.85,1.788e+1,,,,,4.786e-56,7.315e-24,,,5.485e-41,,,7.869e-39,,,,,8.497e-14,9.041e-13,,,,,,3.337e-43,,,5.893e-6,,1.930e-8,,4.276e-44,,1.782e+1,9.721e-5,6.490e-2,,,,3.382e-22,,,,,,,
200.87,7.796e+0,,,,,5.455e-56,1.601e-23,,,5.012e-41,,,2.862e-40,,,,,3.381e-15,1.428e-12,,,,,,4.274e-41,,,2.204e-6,,1.952e-7,,1.040e-46,,7.768e+0,7.296e-5,2.854e-2,,,,1.686e-20,,,,,,,
200.89,3.356e+0,,,,,6.125e-56,3.040e-23,,,3.833e-41,,,8.705e-42,,,,,1.125e-16,1.909e-12,,,,,,4.715e-39,,,7.166e-7,,1.653e-6,,2.115e-49,,3.345e+0,4.868e-5,1.058e-2,,,,7.038e-19,,,,,,,
200.90,2.613e+0,,,,,6.460e-56,3.983e-23,,,3.136e-41,,,1.419e-42,,1.998e-49,,,1.919e-17,2.080e-12,,,,,,4.634e-38,,,4.196e-7,,4.499e-6,,3.883e-49,,2.607e+0,3.788e-5,6.037e-3,,,,4.254e-18,,,,,,,
200.92,3.480e+0,,,,,7.129e-56,6.212e-23,,,1.835e-41,,,3.299e-44,,1.021e-46,,,4.879e-19,2.214e-12,,,,,,3.917e-36,,,3.395e-7,,2.916e-5,,7.419e-49,,3.478e+0,2.065e-5,1.723e-3,,,,1.360e-16,,,,,,,
200.94,8.140e+0,,,,,7.798e-56,8.599e-23,,,8.988e-42,,,6.411e-46,,4.228e-44,,,1.037e-20,2.081e-12,,,,,,2.773e-34,,,9.717e-7,,1.582e-4,,1.096e-48,,8.140e+0,9.700e-6,4.118e-4,,,,3.640e-15,,,,,,,
200.95,1.269e+1,,,,,8.133e-56,9.698e-23,,,5.883e-42,,,8.356e-47,,8.053e-43,,,1.414e-21,1.944e-12,,,,,,2.183e-33,,,1.747e-6,,3.447e-4,,1.272e-48,,1.269e+1,6.285e-6,1.884e-4,,,,1.762e-14,,,,,,,
200.97,2.908e+1,,,,,8.802e-56,1.136e-22,,,2.212e-42,,,1.241e-48,,2.558e-40,,,2.299e-23,1.610e-12,,,,,,1.184e-31,,,5.063e-6,,1.432e-3,,1.626e-48,,2.908e+1,2.426e-6,3.449e-5,,,,3.613e-13,,,,,,,
200.99,5.944e+1,,,,,9.472e-56,1.191e-22,,,7.414e-43,,,1.541e-50,,6.808e-38,,,5.248e-25,1.261e-12,,,,,,5.378e-30,,,1.233e-5,,4.978e-3,,1.979e-48,,5.944e+1,1.042e-6,5.284e-6,,,,6.202e-12,,,,,,,
201.00,8.080e+1,,,,,9.806e-56,1.167e-22,,,4.822e-43,,,1.606e-51,,1.040e-36,,,1.942e-24,1.093e-12,,,,,,3.391e-29,,,1.800e-5,,8.683e-3,,2.156e-48,,8.079e+1,8.656e-7,1.934e-6,,,,2.404e-11,,,,,,,
201.02,1.336e+2,,,,,1.048e-55,1.019e-22,,,6.842e-43,,,1.524e-53,,2.122e-34,,,1.346e-22,7.746e-13,,,,,,1.180e-27,,,3.357e-5,,2.311e-2,,2.510e-48,,1.335e+2,1.114e-6,2.268e-7,,,,3.162e-10,,,,,,,
201.04,1.884e+2,,,,,1.115e-55,7.772e-23,,,2.497e-42,,,1.210e-55,,3.631e-32,,,7.952e-21,4.943e-13,,,,,,3.440e-26,,,5.240e-5,,5.149e-2,,2.863e-48,,1.884e+2,2.013e-6,2.224e-8,,,,3.481e-9,,,,,,,
201.05,2.105e+2,,,,,1.148e-55,6.426e-23,,,4.732e-42,,,1.008e-56,,4.445e-31,,,5.719e-20,3.761e-13,,,,,,1.738e-25,,,6.124e-5,,7.189e-2,,3.040e-48,,2.104e+2,2.742e-6,6.512e-9,,,,1.080e-8,,,,,,,
201.07,2.314e+2,,,,,1.215e-55,3.914e-23,,,1.502e-41,,,6.111e-59,,5.835e-29,,,2.590e-18,1.946e-13,,,,,,3.880e-24,,,7.317e-5,,1.226e-1,,3.394e-48,,2.313e+2,4.946e-6,4.914e-10,,,,9.112e-8,,,,,,,
201.09,2.147e+2,,,,,1.282e-55,2.030e-23,,,3.994e-41,,,3.099e-61,,6.419e-27,,,9.821e-17,8.576e-14,,,,,,7.257e-23,,,7.317e-5,,1.751e-1,,3.747e-48,,2.145e+2,8.311e-6,9.057e-11,,,,6.434e-7,,,,,,,
201.10,1.940e+2,,,,,2.767e-54,1.374e-23,,,6.094e-41,,,2.063e-62,,6.301e-26,,,5.659e-16,5.344e-14,,,,,,2.936e-22,,,6.845e-5,,1.957e-1,,3.924e-48,,1.938e+2,1.038e-5,2.606e-10,,,,1.599e-6,,,,,,,
