Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
305.85,2.354e+3,8.030e+0,2.346e+3
305.88,2.644e+3,1.103e+1,2.633e+3
305.9,2.742e+3,1.734e+1,2.725e+3
305.93,2.726e+3,3.576e+1,2.690e+3
305.95,2.612e+3,5.647e+1,2.556e+3
305.98,2.325e+3,1.056e+2,2.220e+3
306,2.089e+3,1.537e+2,1.936e+3
306.03,1.732e+3,2.531e+2,1.479e+3
306.05,1.522e+3,3.383e+2,1.184e+3
306.08,1.286e+3,4.904e+2,7.957e+2
306.1,1.187e+3,6.018e+2,5.849e+2
306.12,1.129e+3,7.139e+2,4.155e+2
306.15,1.099e+3,8.653e+2,2.333e+2
306.17,1.095e+3,9.428e+2,1.522e+2
306.2,1.082e+3,1.007e+3,7.516e+1
306.22,1.055e+3,1.010e+3,4.500e+1
306.25,9.753e+2,9.558e+2,1.955e+1
306.27,9.004e+2,8.896e+2,1.075e+1
306.3,7.734e+2,7.693e+2,4.108e+0
306.32,6.948e+2,6.927e+2,2.073e+0
306.35,6.166e+2,6.159e+2,6.970e-1
306.37,6.077e+2,6.074e+2,3.229e-1
306.39,6.446e+2,6.445e+2,1.446e-1
306.42,7.975e+2,7.975e+2,4.063e-2
306.44,9.654e+2,9.654e+2,1.672e-2
306.47,1.301e+3,1.301e+3,4.227e-3
306.49,1.563e+3,1.563e+3,1.834e-3
306.52,1.963e+3,1.963e+3,1.533e-3
306.54,2.202e+3,2.202e+3,3.153e-3
306.57,2.464e+3,2.464e+3,1.157e-2
306.59,2.547e+3,2.547e+3,2.699e-2
306.62,2.515e+3,2.515e+3,9.038e-2
306.64,2.391e+3,2.391e+3,1.939e-1
306.67,2.084e+3,2.084e+3,5.720e-1
306.69,1.828e+3,1.827e+3,1.128e+0
306.71,1.558e+3,1.556e+3,2.149e+0
306.74,1.178e+3,1.173e+3,5.303e+0
306.76,9.703e+2,9.611e+2,9.284e+0
306.79,7.640e+2,7.438e+2,2.018e+1
306.81,7.102e+2,6.777e+2,3.245e+1
306.84,7.652e+2,7.031e+2,6.209e+1
306.86,8.912e+2,7.994e+2,9.173e+1
306.89,1.199e+3,1.045e+3,1.546e+2
306.91,1.468e+3,1.258e+3,2.098e+2
306.94,1.922e+3,1.610e+3,3.112e+2
306.96,2.228e+3,1.840e+3,3.880e+2
306.99,2.634e+3,2.127e+3,5.069e+2
307.01,2.841e+3,2.260e+3,5.806e+2
307.03,2.980e+3,2.337e+3,6.428e+2
307.06,3.054e+3,2.352e+3,7.027e+2
307.08,3.027e+3,2.312e+3,7.147e+2
307.11,2.915e+3,2.227e+3,6.879e+2
307.13,2.828e+3,2.186e+3,6.428e+2
307.16,2.737e+3,2.192e+3,5.448e+2
307.18,2.725e+3,2.257e+3,4.676e+2
307.21,2.786e+3,2.437e+3,3.490e+2
307.23,2.865e+3,2.590e+3,2.752e+2
307.26,2.990e+3,2.809e+3,1.808e+2
307.28,3.041e+3,2.910e+3,1.310e+2
307.31,3.016e+3,2.940e+3,7.579e+1
307.33,2.911e+3,2.861e+3,5.044e+1
307.35,2.734e+3,2.701e+3,3.245e+1
307.38,2.352e+3,2.336e+3,1.571e+1
307.4,2.045e+3,2.036e+3,9.284e+0
307.43,1.560e+3,1.556e+3,3.958e+0
307.45,1.250e+3,1.248e+3,2.149e+0
307.48,8.422e+2,8.414e+2,8.065e-1
307.5,6.206e+2,6.202e+2,4.023e-1
307.53,3.689e+2,3.687e+2,1.330e-1
307.55,2.505e+2,2.504e+2,6.100e-2
307.58,1.333e+2,1.332e+2,1.802e-2
307.6,8.639e+1,8.639e+1,8.129e-3
307.63,4.989e+1,4.988e+1,4.022e-3
307.65,4.282e+1,4.281e+1,5.095e-3
307.67,4.738e+1,4.737e+1,8.971e-3
307.7,7.588e+1,7.586e+1,2.308e-2
307.72,1.111e+2,1.110e+2,4.226e-2
307.75,1.930e+2,1.929e+2,9.854e-2
307.77,2.698e+2,2.696e+2,1.662e-1
307.8,4.197e+2,4.194e+2,3.416e-1
307.82,5.406e+2,5.401e+2,5.296e-1
307.85,7.422e+2,7.412e+2,9.594e-1
307.87,8.791e+2,8.778e+2,1.367e+0
307.9,1.065e+3,1.062e+3,2.182e+0
307.92,1.161e+3,1.158e+3,2.858e+0
307.95,1.243e+3,1.239e+3,4.021e+0
307.97,1.250e+3,1.245e+3,4.841e+0
307.99,1.221e+3,1.215e+3,5.634e+0
308.02,1.119e+3,1.113e+3,6.640e+0
308.04,1.028e+3,1.021e+3,7.103e+0
308.07,8.833e+2,8.759e+2,7.378e+0
308.09,7.984e+2,7.911e+2,7.255e+0
308.12,7.082e+2,7.015e+2,6.640e+0
308.14,6.780e+2,6.720e+2,6.001e+0
308.17,6.748e+2,6.699e+2,4.841e+0
308.19,6.925e+2,6.885e+2,4.021e+0
308.22,7.293e+2,7.265e+2,2.858e+0
308.24,7.482e+2,7.460e+2,2.182e+0
308.27,7.507e+2,7.493e+2,1.367e+0
308.29,7.292e+2,7.282e+2,9.594e-1
308.31,6.882e+2,6.875e+2,6.511e-1
308.34,5.954e+2,5.950e+2,3.416e-1
308.36,5.192e+2,5.190e+2,2.131e-1
308.39,3.976e+2,3.975e+2,9.854e-2
308.41,3.193e+2,3.192e+2,5.649e-2
308.44,2.157e+2,2.157e+2,2.302e-2
308.46,1.593e+2,1.593e+2,1.213e-2
308.49,9.492e+1,9.491e+1,4.356e-3
308.51,6.444e+1,6.444e+1,2.110e-3
308.54,3.384e+1,3.384e+1,6.677e-4
308.56,2.112e+1,2.112e+1,2.972e-4
308.59,9.776e+0,9.776e+0,8.289e-5
308.61,5.609e+0,5.609e+0,3.392e-5
308.63,3.111e+0,3.111e+0,1.342e-5
308.66,1.207e+0,1.207e+0,3.135e-6
308.68,6.154e-1,6.154e-1,1.140e-6
308.71,2.104e-1,2.104e-1,2.347e-7
308.73,9.864e-2,9.864e-2,7.846e-8
308.76,2.980e-2,2.980e-2,1.423e-8
308.78,1.303e-2,1.303e-2,4.373e-9
308.81,4.264e-3,4.264e-3,6.992e-10
308.83,3.373e-3,3.373e-3,1.975e-10
308.86,7.154e-3,7.154e-3,2.782e-11
308.88,1.487e-2,1.487e-2,7.221e-12
308.91,4.396e-2,4.396e-2,8.965e-13
308.93,8.722e-2,8.722e-2,2.139e-13
308.95,1.674e-1,1.674e-1,4.934e-14
308.98,4.182e-1,4.182e-1,5.132e-15
309,7.384e-1,7.384e-1,1.088e-15
309.03,1.627e+0,1.627e+0,1.202e-15
309.05,2.642e+0,2.642e+0,1.278e-15
309.08,5.136e+0,5.136e+0,1.392e-15
309.1,7.672e+0,7.672e+0,1.468e-15
309.13,1.316e+1,1.316e+1,1.582e-15
309.15,1.808e+1,1.808e+1,1.658e-15
309.18,2.734e+1,2.734e+1,1.772e-15
309.2,3.455e+1,3.455e+1,1.848e-15
309.23,4.611e+1,4.611e+1,1.962e-15
309.25,5.360e+1,5.360e+1,2.038e-15
309.27,6.025e+1,6.025e+1,2.114e-15
309.3,6.746e+1,6.746e+1,2.228e-15
309.32,6.976e+1,6.976e+1,2.304e-15
309.35,6.892e+1,6.892e+1,2.418e-15
309.37,6.560e+1,6.560e+1,2.494e-15
309.4,5.731e+1,5.731e+1,2.608e-15
309.42,5.037e+1,5.037e+1,2.684e-15
309.45,3.944e+1,3.944e+1,2.798e-15
309.47,3.270e+1,3.270e+1,2.874e-15
309.5,2.475e+1,2.475e+1,2.988e-15
309.52,2.149e+1,2.149e+1,3.064e-15
309.55,2.035e+1,2.035e+1,3.178e-15
309.57,2.230e+1,2.230e+1,3.254e-15
309.59,2.648e+1,2.648e+1,3.330e-15
309.62,3.668e+1,3.668e+1,3.444e-15
309.64,4.569e+1,4.569e+1,3.520e-15
309.67,6.129e+1,6.129e+1,3.604e-14
309.69,7.206e+1,7.206e+1,1.648e-13
309.72,8.668e+1,8.668e+1,1.492e-12
309.74,9.415e+1,9.415e+1,6.217e-12
309.77,1.002e+2,1.002e+2,4.970e-11
309.79,1.002e+2,1.002e+2,1.906e-10
309.82,9.409e+1,9.409e+1,1.346e-9
309.84,8.656e+1,8.656e+1,4.754e-9
309.87,7.175e+1,7.175e+1,2.965e-8
309.89,6.073e+1,6.073e+1,9.638e-8
309.91,4.972e+1,4.972e+1,3.031e-7
309.94,3.460e+1,3.460e+1,1.589e-6
309.96,2.606e+1,2.606e+1,4.601e-6
309.99,1.600e+1,1.600e+1,2.131e-5
310.01,1.109e+1,1.109e+1,5.681e-5
310.04,6.008e+0,6.008e+0,2.324e-4
310.06,3.831e+0,3.830e+0,5.705e-4
310.09,1.834e+0,1.832e+0,2.062e-3
310.11,1.079e+0,1.075e+0,4.660e-3
310.14,4.696e-1,4.547e-1,1.488e-2
310.16,2.790e-1,2.480e-1,3.098e-2
310.19,1.904e-1,1.029e-1,8.743e-2
310.21,2.387e-1,7.109e-2,1.676e-1
310.23,3.870e-1,7.629e-2,3.107e-1
310.26,9.015e-1,1.638e-1,7.377e-1
310.28,1.568e+0,3.078e-1,1.260e+0
310.31,3.420e+0,7.751e-1,2.644e+0
310.33,5.544e+0,1.384e+0,4.160e+0
310.36,1.082e+1,3.104e+0,7.720e+0
310.38,1.629e+1,5.103e+0,1.119e+1
310.41,2.848e+1,1.011e+1,1.836e+1
310.43,3.983e+1,1.530e+1,2.453e+1
310.46,6.240e+1,2.678e+1,3.562e+1
310.48,8.118e+1,3.731e+1,4.388e+1
310.51,1.141e+2,5.765e+1,5.649e+1
310.53,1.382e+2,7.392e+1,6.427e+1
310.55,1.626e+2,9.171e+1,7.094e+1
310.58,1.970e+2,1.191e+2,7.792e+1
310.6,2.163e+2,1.360e+2,8.029e+1
310.63,2.370e+2,1.562e+2,8.078e+1
310.65,2.443e+2,1.645e+2,7.975e+1
310.68,2.459e+2,1.679e+2,7.807e+1
310.7,2.423e+2,1.642e+2,7.807e+1
310.73,2.342e+2,1.526e+2,8.160e+1
310.75,2.305e+2,1.435e+2,8.694e+1
310.78,2.338e+2,1.345e+2,9.932e+1
310.8,2.458e+2,1.361e+2,1.097e+2
310.83,2.844e+2,1.582e+2,1.262e+2
310.85,3.266e+2,1.906e+2,1.360e+2
310.87,3.834e+2,2.400e+2,1.434e+2
310.9,4.962e+2,3.482e+2,1.481e+2
310.92,5.880e+2,4.419e+2,1.461e+2
310.95,7.424e+2,6.069e+2,1.354e+2
310.97,8.485e+2,7.246e+2,1.239e+2
311,9.952e+2,8.927e+2,1.024e+2
311.02,1.073e+3,9.865e+2,8.674e+1
311.05,1.144e+3,1.080e+3,6.376e+1
311.07,1.154e+3,1.104e+3,4.993e+1
311.1,1.112e+3,1.079e+3,3.261e+1
311.12,1.052e+3,1.028e+3,2.360e+1
311.15,9.321e+2,9.184e+2,1.369e+1
311.17,8.463e+2,8.372e+2,9.153e+0
311.19,7.667e+2,7.608e+2,5.928e+0
311.22,6.756e+2,6.727e+2,2.910e+0
311.24,6.407e+2,6.390e+2,1.741e+0
311.27,6.299e+2,6.291e+2,7.581e-1
311.29,6.474e+2,6.470e+2,4.185e-1
311.32,7.005e+2,7.004e+2,1.616e-1
311.34,7.469e+2,7.468e+2,8.231e-2
311.37,8.222e+2,8.222e+2,2.817e-2
311.39,8.721e+2,8.720e+2,1.324e-2
311.42,9.419e+2,9.419e+2,4.012e-3
311.44,9.839e+2,9.839e+2,1.739e-3
311.47,1.037e+3,1.037e+3,4.666e-4
311.49,1.065e+3,1.065e+3,1.865e-4
311.51,1.083e+3,1.083e+3,7.225e-5
311.54,1.089e+3,1.089e+3,1.717e-5
311.56,1.076e+3,1.076e+3,8.299e-6
311.59,1.034e+3,1.034e+3,1.254e-5
311.61,9.922e+2,9.922e+2,3.050e-5
311.64,9.180e+2,9.180e+2,1.223e-4
311.66,8.665e+2,8.665e+2,2.991e-4
311.69,7.940e+2,7.940e+2,1.080e-3
311.71,7.512e+2,7.512e+2,2.445e-3
311.74,6.947e+2,6.947e+2,7.874e-3
311.76,6.596e+2,6.596e+2,1.655e-2
311.78,6.239e+2,6.239e+2,3.378e-2
311.81,5.647e+2,5.646e+2,9.347e-2
311.83,5.199e+2,5.198e+2,1.780e-1
311.86,4.460e+2,4.455e+2,4.450e-1
311.88,3.948e+2,3.940e+2,7.940e-1
311.91,3.221e+2,3.203e+2,1.806e+0
311.93,2.806e+2,2.776e+2,3.032e+0
311.96,2.348e+2,2.285e+2,6.310e+0
311.98,2.174e+2,2.075e+2,9.992e+0
312.01,2.130e+2,1.939e+2,1.906e+1
312.03,2.241e+2,1.956e+2,2.847e+1
312.06,2.608e+2,2.111e+2,4.970e+1
312.08,2.977e+2,2.279e+2,6.987e+1
312.1,3.439e+2,2.481e+2,9.577e+1
312.13,4.289e+2,2.825e+2,1.464e+2
312.15,4.945e+2,3.066e+2,1.879e+2
312.18,6.014e+2,3.419e+2,2.595e+2
312.2,6.740e+2,3.630e+2,3.110e+2
312.23,7.744e+2,3.871e+2,3.873e+2
312.25,8.290e+2,3.958e+2,4.333e+2
312.28,8.820e+2,3.940e+2,4.880e+2
312.3,8.940e+2,3.819e+2,5.121e+2
312.33,8.762e+2,3.480e+2,5.282e+2
312.35,8.435e+2,3.169e+2,5.266e+2
312.38,7.733e+2,2.629e+2,5.104e+2
312.4,7.199e+2,2.262e+2,4.937e+2
312.42,6.668e+2,1.921e+2,4.747e+2
312.45,5.960e+2,1.514e+2,4.446e+2
312.47,5.578e+2,1.337e+2,4.241e+2
312.5,5.148e+2,1.235e+2,3.913e+2
312.52,4.942e+2,1.275e+2,3.667e+2
312.55,4.712e+2,1.470e+2,3.242e+2
312.57,4.582e+2,1.664e+2,2.919e+2
312.6,4.381e+2,1.992e+2,2.389e+2
312.62,4.223e+2,2.198e+2,2.025e+2
312.65,3.927e+2,2.427e+2,1.500e+2
312.67,3.683e+2,2.500e+2,1.183e+2
312.7,3.246e+2,2.464e+2,7.827e+1
312.72,2.916e+2,2.344e+2,5.714e+1
312.74,2.564e+2,2.159e+2,4.041e+1
312.77,2.023e+2,1.796e+2,2.263e+1
312.79,1.674e+2,1.526e+2,1.477e+1
312.82,1.199e+2,1.126e+2,7.324e+0
312.84,9.302e+1,8.862e+1,4.406e+0
312.87,6.126e+1,5.933e+1,1.933e+0
312.89,4.623e+1,4.516e+1,1.072e+0
312.92,3.318e+1,3.277e+1,4.161e-1
312.94,3.103e+1,3.081e+1,2.126e-1
312.97,3.852e+1,3.845e+1,7.298e-2
312.99,5.170e+1,5.166e+1,3.435e-2
313.02,8.618e+1,8.617e+1,1.043e-2
313.04,1.205e+2,1.205e+2,4.524e-3
313.06,1.649e+2,1.649e+2,1.899e-3
313.09,2.507e+2,2.507e+2,4.855e-4
313.11,3.192e+2,3.192e+2,1.877e-4
313.14,4.329e+2,4.329e+2,4.245e-5
313.16,5.103e+2,5.103e+2,1.512e-5
313.19,6.164e+2,6.164e+2,3.025e-6
313.21,6.726e+2,6.726e+2,9.929e-7
313.24,7.233e+2,7.233e+2,1.756e-7
313.26,7.305e+2,7.305e+2,5.311e-8
313.29,6.995e+2,6.995e+2,8.307e-9
313.31,6.538e+2,6.538e+2,2.315e-9
313.34,5.574e+2,5.574e+2,3.202e-10
313.36,4.821e+2,4.821e+2,8.222e-11
313.38,4.043e+2,4.043e+2,2.043e-11
313.41,2.928e+2,2.928e+2,2.379e-12
313.43,2.271e+2,2.271e+2,5.447e-13
313.46,1.464e+2,1.464e+2,5.611e-14
313.48,1.050e+2,1.050e+2,4.017e-16
313.51,6.018e+1,6.018e+1,4.080e-15
313.53,3.992e+1,3.992e+1,1.837e-14
313.56,2.034e+1,2.034e+1,1.653e-13
313.58,1.247e+1,1.247e+1,6.865e-13
313.61,5.643e+0,5.643e+0,5.469e-12
313.63,3.197e+0,3.197e+0,2.095e-11
313.66,1.285e+0,1.285e+0,1.478e-10
313.68,6.725e-1,6.725e-1,5.223e-10
313.7,3.410e-1,3.410e-1,1.787e-9
313.73,1.160e-1,1.160e-1,1.064e-8
313.75,5.428e-2,5.428e-2,3.356e-8
313.78,1.638e-2,1.638e-2,1.770e-7
313.8,7.077e-3,7.077e-3,5.149e-7
313.83,1.896e-3,1.893e-3,2.405e-6
313.85,7.615e-4,7.551e-4,6.454e-6
313.88,2.058e-4,1.791e-4,2.670e-5
313.9,1.320e-4,6.589e-5,6.607e-5
313.93,2.560e-4,1.385e-5,2.421e-4
313.95,5.573e-4,4.702e-6,5.526e-4
313.98,1.794e-3,8.761e-7,1.793e-3
314,3.775e-3,2.763e-7,3.775e-3
314.02,7.694e-3,9.113e-8,7.694e-3
314.05,2.107e-2,6.661e-8,2.107e-2
314.07,3.960e-2,1.863e-7,3.960e-2
314.1,9.605e-2,1.084e-6,9.604e-2
314.12,1.665e-1,3.411e-6,1.665e-1
314.15,3.577e-1,1.793e-5,3.577e-1
314.17,5.719e-1,5.207e-5,5.718e-1
314.2,1.088e+0,2.425e-4,1.088e+0
314.22,1.605e+0,6.498e-4,1.604e+0
314.25,2.706e+0,2.682e-3,2.703e+0
314.27,3.683e+0,6.629e-3,3.677e+0
314.3,5.512e+0,2.425e-2,5.488e+0
314.32,6.938e+0,5.531e-2,6.883e+0
314.34,8.480e+0,1.221e-1,8.358e+0
314.37,1.090e+1,3.774e-1,1.053e+1
314.39,1.256e+1,7.690e-1,1.179e+1
314.42,1.525e+1,2.106e+0,1.315e+1
314.44,1.754e+1,3.961e+0,1.358e+1
314.47,2.303e+1,9.618e+0,1.342e+1
314.49,2.947e+1,1.669e+1,1.278e+1
314.52,4.713e+1,3.594e+1,1.118e+1
314.54,6.741e+1,5.758e+1,9.826e+0
314.57,1.176e+2,1.100e+2,7.615e+0
314.59,1.688e+2,1.626e+2,6.171e+0
314.62,2.798e+2,2.756e+2,4.236e+0
314.64,3.795e+2,3.764e+2,3.165e+0
314.66,5.002e+2,4.979e+2,2.290e+0
314.69,7.152e+2,7.139e+2,1.326e+0
314.71,8.733e+2,8.725e+2,8.851e-1
314.74,1.111e+3,1.111e+3,4.541e-1
314.76,1.255e+3,1.255e+3,2.794e-1
314.79,1.420e+3,1.419e+3,1.270e-1
314.81,1.482e+3,1.482e+3,7.207e-2
314.84,1.492e+3,1.492e+3,2.900e-2
314.86,1.442e+3,1.442e+3,1.518e-2
314.89,1.294e+3,1.294e+3,5.411e-3
314.91,1.161e+3,1.161e+3,2.613e-3
314.94,9.369e+2,9.369e+2,8.248e-4
314.96,7.875e+2,7.875e+2,3.672e-4
314.98,6.490e+2,6.490e+2,1.583e-4
315.01,4.756e+2,4.756e+2,4.217e-5
315.03,3.875e+2,3.875e+2,1.677e-5
315.06,2.964e+2,2.964e+2,3.956e-6
315.08,2.594e+2,2.594e+2,1.450e-6
315.11,2.300e+2,2.300e+2,3.031e-7
315.13,2.215e+2,2.215e+2,1.025e-7
315.16,2.155e+2,2.155e+2,1.897e-8
315.18,2.116e+2,2.116e+2,5.917e-9
315.21,2.008e+2,2.008e+2,9.700e-10
315.23,1.892e+2,1.892e+2,2.790e-10
315.26,1.655e+2,1.655e+2,4.051e-11
315.28,1.467e+2,1.467e+2,1.075e-11
315.3,1.270e+2,1.270e+2,2.761e-12
315.33,9.862e+1,9.862e+1,3.382e-13
315.35,8.216e+1,8.216e+1,8.011e-14
315.38,6.350e+1,6.350e+1,8.693e-15
315.4,5.586e+1,5.586e+1,8.657e-15
315.43,5.197e+1,5.197e+1,8.602e-15
315.45,5.410e+1,5.410e+1,8.566e-15
315.48,6.304e+1,6.304e+1,8.512e-15
315.5,7.163e+1,7.163e+1,8.475e-15
315.53,8.592e+1,8.592e+1,8.421e-15
315.55,9.481e+1,9.481e+1,8.385e-15
315.58,1.047e+2,1.047e+2,8.330e-15
315.6,1.080e+2,1.080e+2,8.294e-15
315.62,1.081e+2,1.081e+2,8.258e-15
315.65,1.026e+2,1.026e+2,8.204e-15
315.67,9.589e+1,9.589e+1,8.167e-15
315.7,8.389e+1,8.389e+1,8.113e-15
315.72,7.648e+1,7.648e+1,8.077e-15
315.75,7.019e+1,7.019e+1,8.023e-15
315.77,7.171e+1,7.171e+1,7.986e-15
315.8,8.702e+1,8.702e+1,7.932e-15
315.82,1.085e+2,1.085e+2,7.896e-15
315.85,1.615e+2,1.615e+2,7.841e-15
315.87,2.124e+2,2.124e+2,7.805e-15
315.9,3.128e+2,3.128e+2,7.751e-15
315.92,3.945e+2,3.945e+2,7.715e-15
315.94,4.852e+2,4.852e+2,7.678e-15
315.97,6.298e+2,6.298e+2,7.624e-15
315.99,7.242e+2,7.242e+2,7.588e-15
316.02,8.473e+2,8.473e+2,7.534e-15
316.04,9.083e+2,9.083e+2,7.497e-15
316.07,9.556e+2,9.556e+2,7.443e-15
316.09,9.537e+2,9.537e+2,7.407e-15
316.12,9.006e+2,9.006e+2,7.352e-15
316.14,8.358e+2,8.358e+2,7.316e-15
316.17,7.071e+2,7.071e+2,7.262e-15
316.19,6.094e+2,6.094e+2,7.226e-15
316.22,4.610e+2,4.610e+2,7.171e-15
316.24,3.686e+2,3.686e+2,7.135e-15
316.26,2.859e+2,2.859e+2,7.099e-15
316.29,1.844e+2,1.844e+2,7.044e-15
316.31,1.325e+2,1.325e+2,7.008e-15
316.34,7.616e+1,7.616e+1,6.954e-15
316.36,5.064e+1,5.064e+1,6.918e-15
316.39,2.590e+1,2.590e+1,6.863e-15
316.41,1.593e+1,1.593e+1,6.827e-15
316.44,7.249e+0,7.249e+0,6.773e-15
316.46,4.128e+0,4.128e+0,6.737e-15
316.49,1.691e+0,1.691e+0,6.682e-15
316.51,9.277e-1,9.277e-1,6.646e-15
316.54,4.570e-1,4.570e-1,6.592e-15
316.56,4.187e-1,4.187e-1,6.555e-15
316.58,5.519e-1,5.519e-1,6.519e-15
316.61,1.117e+0,1.117e+0,6.465e-15
316.63,1.833e+0,1.833e+0,6.429e-15
316.66,3.692e+0,3.692e+0,6.374e-15
316.68,5.673e+0,5.673e+0,6.338e-15
316.71,1.018e+1,1.018e+1,6.284e-15
316.73,1.446e+1,1.446e+1,6.247e-15
316.76,2.304e+1,2.304e+1,6.193e-15
316.78,3.020e+1,3.020e+1,6.157e-15
316.81,4.271e+1,4.271e+1,6.103e-15
316.83,5.170e+1,5.170e+1,6.066e-15
316.86,6.488e+1,6.488e+1,6.012e-15
316.88,7.253e+1,7.253e+1,5.976e-15
316.9,7.855e+1,7.855e+1,5.940e-15
316.93,8.338e+1,8.338e+1,5.885e-15
316.95,8.338e+1,8.338e+1,5.849e-15
316.98,7.855e+1,7.855e+1,5.795e-15
317,7.253e+1,7.253e+1,5.758e-15
317.03,6.064e+1,6.064e+1,5.704e-15
317.05,5.173e+1,5.173e+1,5.668e-15
317.08,3.842e+1,3.842e+1,5.614e-15
317.1,3.035e+1,3.035e+1,5.577e-15
317.13,2.030e+1,2.030e+1,5.523e-15
317.15,1.527e+1,1.527e+1,5.487e-15
317.18,1.052e+1,1.052e+1,5.432e-15
317.2,9.397e+0,9.397e+0,5.396e-15
317.22,1.017e+1,1.017e+1,5.360e-15
317.25,1.585e+1,1.585e+1,5.306e-15
317.27,2.365e+1,2.365e+1,5.269e-15
317.3,4.384e+1,4.384e+1,5.215e-15
317.32,6.472e+1,6.472e+1,5.179e-15
317.35,1.102e+2,1.102e+2,5.124e-15
317.37,1.514e+2,1.514e+2,5.088e-15
317.4,2.298e+2,2.298e+2,5.034e-15
317.42,2.918e+2,2.918e+2,4.998e-15
317.45,3.936e+2,3.936e+2,4.943e-15
317.47,4.621e+2,4.621e+2,4.907e-15
317.49,5.255e+2,5.255e+2,4.871e-15
317.52,6.009e+2,6.009e+2,4.817e-15
317.54,6.317e+2,6.317e+2,4.780e-15
317.57,6.418e+2,6.418e+2,4.726e-15
317.59,6.236e+2,6.236e+2,4.690e-15
317.62,5.629e+2,5.629e+2,4.635e-15
317.64,5.054e+2,5.054e+2,4.599e-15
317.67,4.053e+2,4.053e+2,4.545e-15
317.69,3.364e+2,3.364e+2,4.509e-15
317.72,2.397e+2,2.397e+2,4.454e-15
317.74,1.838e+2,1.838e+2,4.418e-15
317.77,1.163e+2,1.163e+2,4.364e-15
317.79,8.246e+1,8.246e+1,4.327e-15
317.81,5.662e+1,5.662e+1,4.291e-15
317.84,3.037e+1,3.037e+1,4.237e-15
317.86,1.927e+1,1.927e+1,4.201e-15
317.89,9.182e+0,9.182e+0,4.146e-15
317.91,5.385e+0,5.385e+0,4.110e-15
317.94,2.279e+0,2.279e+0,4.056e-15
317.96,1.235e+0,1.235e+0,4.020e-15
317.99,4.643e-1,4.643e-1,3.965e-15
318.01,2.325e-1,2.325e-1,3.929e-15
318.04,7.765e-2,7.765e-2,3.875e-15
318.06,3.593e-2,3.593e-2,3.838e-15
318.09,1.066e-2,1.066e-2,3.784e-15
318.11,4.557e-3,4.557e-3,3.748e-15
318.13,1.888e-3,1.888e-3,3.712e-15
318.16,4.744e-4,4.744e-4,3.657e-15
318.18,1.816e-4,1.816e-4,3.621e-15
318.21,4.053e-5,4.053e-5,3.567e-15
318.23,1.435e-5,1.435e-5,3.531e-15
318.26,2.943e-6,2.943e-6,3.476e-15
318.28,1.247e-6,1.247e-6,3.440e-15
318.31,1.843e-6,1.843e-6,3.386e-15
318.33,4.943e-6,4.943e-6,3.349e-15
318.36,2.294e-5,2.294e-5,3.295e-15
318.38,6.176e-5,6.176e-5,3.259e-15
318.41,2.573e-4,2.573e-4,3.204e-15
318.43,6.404e-4,6.404e-4,3.168e-15
318.45,1.545e-3,1.545e-3,3.132e-15
318.48,5.456e-3,5.456e-3,3.078e-15
318.5,1.217e-2,1.217e-2,3.041e-15
318.53,3.819e-2,3.819e-2,2.987e-15
318.55,7.871e-2,7.871e-2,2.951e-15
318.58,2.196e-1,2.196e-1,2.897e-15
318.6,4.184e-1,4.184e-1,2.860e-15
318.63,1.037e+0,1.037e+0,2.806e-15
318.65,1.827e+0,1.827e+0,2.770e-15
318.68,4.027e+0,4.027e+0,2.715e-15
318.7,6.557e+0,6.557e+0,2.679e-15
318.73,1.284e+1,1.284e+1,2.625e-15
318.75,1.933e+1,1.933e+1,2.589e-15
318.77,2.820e+1,2.820e+1,2.552e-15
318.8,4.686e+1,4.686e+1,2.498e-15
318.82,6.321e+1,6.321e+1,2.462e-15
318.85,9.341e+1,9.341e+1,2.408e-15
318.87,1.166e+2,1.166e+2,2.371e-15
318.9,1.535e+2,1.535e+2,2.317e-15
318.92,1.775e+2,1.775e+2,2.281e-15
318.95,2.089e+2,2.089e+2,2.226e-15
318.97,2.248e+2,2.248e+2,2.190e-15
319,2.385e+2,2.385e+2,2.136e-15
319.02,2.406e+2,2.406e+2,2.100e-15
319.05,2.346e+2,2.346e+2,2.045e-15
319.07,2.261e+2,2.261e+2,2.009e-15
319.09,2.156e+2,2.156e+2,1.973e-15
319.12,1.990e+2,1.990e+2,1.918e-15
319.14,1.887e+2,1.887e+2,1.882e-15
319.17,1.755e+2,1.755e+2,1.828e-15
319.19,1.678e+2,1.678e+2,1.792e-15
319.22,1.566e+2,1.566e+2,1.737e-15
319.24,1.484e+2,1.484e+2,1.701e-15
319.27,1.334e+2,1.334e+2,1.647e-15
319.29,1.215e+2,1.215e+2,1.611e-15
319.32,1.012e+2,1.012e+2,1.556e-15
319.34,8.678e+1,8.678e+1,1.520e-15
319.37,6.540e+1,6.540e+1,1.466e-15
319.39,5.224e+1,5.224e+1,1.429e-15
319.41,4.049e+1,4.049e+1,1.393e-15
319.44,2.611e+1,2.611e+1,1.339e-15
319.46,1.875e+1,1.875e+1,1.303e-15
319.49,1.077e+1,1.077e+1,1.248e-15
319.51,7.155e+0,7.155e+0,1.212e-15
319.54,3.656e+0,3.656e+0,1.158e-15
319.56,2.248e+0,2.248e+0,1.121e-15
